&| ˈʌ w
aerobic|ˈε ʁ ʔo b ˌʔi k
aerof|ˈε ʁ ʔo f
aes|ˈa ə  s
af|ˈa 
afarter|ˈ?ɑ w ɑ t ˌʔʌ 
afbalancere|ˈ?ɑ w b a l ˌ?ɑ ŋ s e ˌʔʌ 
afbalanceret|ˈ?ɑ w b a l ˌ?ɑ ŋ s e ɐ̯ ˌʔʌ ð
afbalanceret«|ˈ?ɑ w b a l ˌ?ɑ ŋ s e ɐ̯ ˌʔʌ ð
afbalancering|ˈ?ɑ w b a l ˌ?ɑ ŋ s ə ʁ ˌʔe ŋ
afbenyttelse|ˈ?ɑ w b ʔe n ˌʔœ t ə l s ə 
afbestille|ˈ?ɑ w b ε s t ˌʔe l ə 
afbestiller|ˈ?ɑ w b ε s t ˌʔe l ʔʌ 
afbestillingsmuligheder|ˈ?ɑ w b ε s t ˌʔe l ʔe ŋ s m ˌu l ʔi h ˌʔe ð ʌ
afbestillingsregler|ˈ?ɑ w b ε s t ˌʔe l ʔe ŋ s ʁ ˌε j l ʔʌ 
afbestilte|ˈ?ɑ w b ε s t ˌʔe l d ə 
afbetaling|ˈ?ɑ w b ʔe t ˌa l ʔe ŋ
afbildet|ˈ?ɑ w b ʔi l ə ð
afbillede|ˈ?ɑ w b ʔe l ə ð ə
afbilleder|ˈ?ɑ w b ʔe l ð ˌʔʌ 
afbleget|ˈ?ɑ w b l ?ɑ j ə ð
afblæse|ˈ?ɑ w b l ɛ s ə 
afblæses|ˈ?ɑ w b l ɛ s ə  s
afblæst|ˈ?ɑ w b l ε s t
afbrudt|ˈ?ɑ w b ɐ̯ ʔu t
afbrudte|ˈ?ɑ w b ɐ̯ ʔu d ə 
afbrudt«|ˈ?ɑ w b ɐ̯ ʔu t
afbryd|ˈ?ɑ w b ɐ̯ ʔy ð
afbrydelse|ˈ?ɑ w b ɐ̯ y ð ə l s ə 
afbrydelser|ˈ?ɑ w b ɐ̯ y ð ə l s ˌʔʌ 
afbryder|ˈ?ɑ w b ɐ̯ y ð ˌʔʌ 
afbrydes|ˈ?ɑ w b ɐ̯ y ð ə  s
afbræk|ˈ?ɑ w b ɐ̯ ?a k
afbrænde|ˈ?ɑ w b ɐ̯ ?a n ə 
afbrænder|ˈ?ɑ w b ɐ̯ ?a n ˌʔʌ 
afbrænding|ˈ?ɑ w b ɐ̯ ?a n ˌʔe ŋ
afbrændingen|ˈ?ɑ w b ɐ̯ ?a n ˌʔe ŋ ə n
afbrændt|ˈ?ɑ w b ɐ̯ ?a n t
afbrændte|ˈ?ɑ w b ɐ̯ ?a n d ə 
afbrød|ˈ?ɑ w b ɐ̯ ʔœ ð
afbud|ˈ?ɑ w b ʔu ð
afbudsbillet|ˈ?ɑ w b ʔu ð s b ˌʔi l ε t
afbureaukratisering|ˌ?ɑ w b ʔy ʁ ˈʔo k ʁ ?ɑ t i s ˌʔe ɐ̯ ʔe ŋ
afbøde|ˈ?ɑ w b œ ð ə 
afbødningsstrategi|ˈ?ɑ w b ʔœ ð n ˌʔe ŋ s t ʁ ɑ t ə ɡ ˌʔi
afbødningsstrategier|ˈ?ɑ w b ʔœ ð n ˌʔe ŋ s t ʁ ɑ t ə ɡ j ˌʔʌ 
afc's|ˈ?ɑ w k s
afd|ˈ?ɑ w d
afdankede|ˈ?ɑ w d ?ɑ n k ə ð ə
afdanskning|ˈ?ɑ w d a n s k n ˌʔe ŋ
afdeling|ˈ?ɑ w d e l ˌʔe ŋ
afdelingen|ˈ?ɑ w d e l ˌʔe ŋ ə n
afdelingens|ˈ?ɑ w d e l ˌʔe ŋ ə n s
afdelinger|ˈ?ɑ w d e l ˌʔe ŋ ʔʌ
afdelingerne|ˈ?ɑ w d e l ˌʔe ŋ ʔʌ n ə
afdelingschef|ˈ?ɑ w d e l ˌʔe ŋ ʃ ε f
afdelingschefer|ˈ?ɑ w d e l ˌʔe ŋ ʃ ε f ˌʔʌ 
afdelingsdirektøren|ˈ?ɑ w d e l ˌʔe ŋ s d i ʁ ˌ?a k t œ ˌʔʌ n
afdelingsformanden|ˈ?ɑ w d e l ˌʔe ŋ s f ʌː m ˌa n ə n
afdelingsledelsen|ˈ?ɑ w d e l ˌʔe ŋ s l e ð ə l s ə n
afdelingsledelsens|ˈ?ɑ w d e l ˌʔe ŋ s l e ð ə l s ə n s
afdelingsleder|ˈ?ɑ w d e l ˌʔe ŋ s l ʔe ð ˌʔʌ 
afdelingslederen|ˈ?ɑ w d e l ˌʔe ŋ s l ʔe ð ˌʌː ʌ n
afdelingslæge|ˈ?ɑ w d e l ˌʔe ŋ s l ɛ j ə 
afdelingslægen|ˈ?ɑ w d e l ˌʔe ŋ s l ɛ j ə n
afdelingssygeplejerske|ˈ?ɑ w d e l ˌʔe ŋ s y ə p l ˌaɪ ʌ s k ə 
afdelingssygeplejersken|ˈ?ɑ w d e l ˌʔe ŋ s y ə p l ˌaɪ ʌ s k ə n
afdrag|ˈ?ɑ w d ʁ ?ɑ w
afdrage|ˈ?ɑ w d ʁ ?ɑ w ə
afdramatisere|ˈ?ɑ w d ʁ ɑ m ˌa t i s ˌʔe ʔʌ
afdække|ˈ?ɑ w d ε k ə 
afdækkede|ˈ?ɑ w d ε k ə ð ə
afdækket|ˈ?ɑ w d ε k ə ð
afdækning|ˈ?ɑ w d ε k n ˌʔe ŋ
afdæmpe|ˈ?ɑ w d ε m p ə 
afdæmpede|ˈ?ɑ w d ε m p ə ð ə
afdæmpet|ˈ?ɑ w d ε m p ə ð
afdød|ˈ?ɑ w d ʔœ ð
afdøde|ˈ?ɑ w d œ ð ə
afdødekontakt|ˈ?ɑ w d œ ð ə k ˌʔʌ n t ?ɑ k t
afdødes|ˈ?ɑ w d œ ð ə  s
affald|ˈɑ w f a l
affaldet|ˈɑ w f a l ə ð
affaldplus|ˈɑ w f a l p l ˌʔu s
affalds|ˈɑ w f a l s
affaldsaftale|ˈɑ w f a l s ˌ?ɑ w t a l ə 
affaldsanlæg|ˈɑ w f a l s ˌa n l ε ɡ
affaldsbeholdere|ˈɑ w f a l s b ˌʔe h ʔʌ l ˌʔʌ ʔʌ
affaldsbjerget|ˈɑ w f a l s b j ˌε ɐ̯ w ə ð
affaldsbrand|ˈɑ w f a l s b ɐ̯ ˌ?ɑ n
affaldsbunken|ˈɑ w f a l s b ˌɒ n k ə n
affaldscontainere|ˌɑ w f a l s k ʔʌ n t ˈε j n ʔʌ ʔʌ
affaldsdeponi|ˈɑ w f a l s d ˌʔe p ʔʌ n ˌʔi
affaldsdepoter|ˌɑ w f a l s d ʔe p ˈʔo t ʔʌ
affaldsforbrænding|ˈɑ w f a l s f ˌʌː b ɐ̯ ?a n ˌʔe ŋ
affaldsforbrændings|ˈɑ w f a l s f ˌʌː b ɐ̯ ?a n ˌʔe ŋ s
affaldshåndtering|ˈɑ w f a l s h ʔʌ n t ˌʔe ɐ̯ ʔe ŋ
affaldsindsamlingen|ˈɑ w f a l s ˌʔe n s ?ɑ m l ˌʔe ŋ ə n
affaldsindsamlinger|ˈɑ w f a l s ˌʔe n s ?ɑ m l ˌʔe ŋ ʔʌ
affaldsområdet|ɑ w f ˈa l s ʔʌ m ʁ ˌɒ ð ə ð
affaldsordning|ˌɑ w f a l s ˈɒɒ d n ʔe ŋ
affaldsplan|ˈɑ w f a l s p l ˌa n
affaldsrende|ˈɑ w f a l s ɐ̯ ə n ə
affaldssektor|ˈɑ w f a l s ˌʔe k t ʌ
affaldsselskabet|ˈɑ w f a l s ˌε l s k a b ə ð
affaldssortering|ˈɑ w f a l s o ɐ̯ t ˌʔe ɐ̯ ʔe ŋ
affaldssorteringen|ˈɑ w f a l s o ɐ̯ t ˌʔe ɐ̯ ʔe ŋ ə n
affaldsspande|ˈɑ w f a l s p ˌa n ə 
affaldsstoffer|ˈɑ w f a l s t ˌʔʌ f ʔʌ 
affaldssystmet|ˈɑ w f a l s ˌʔy s t m ə ð
affaldssække|ˈɑ w f a l s ˌε k ə 
affaldssækkene|ˈɑ w f a l s ˌε k ə n ə
affaldstræ|ˈɑ w f a l s t ʁ ˌε
affaldstyper|ˈɑ w f a l s t ˌʔy p ʔʌ 
affaldstænger|ˈɑ w f a l s t ˌε ŋ ʔʌ
affejer|ˈ?ɑ w f ?ɑ j ˌʔʌ 
affekt|a f ˈε ɡ t
affinde|ˈ?ɑ w f ʔe n ə 
affinder|ˈ?ɑ w f ʔe n ˌʔʌ
affjedring|ˈ?ɑ w f j ʔe ð ʁ ˌʔe ŋ
affjedringen|ˈ?ɑ w f j ʔe ð ʁ ˌʔe ŋ ə n
affolket|ˈ?ɑ w f ʔʌ l k ə ð
affolkning|ˈ?ɑ w f ʔʌ l k n ˌʔe ŋ
affordable|ˈ?ɑ w f ʌː d ˌa b l ə 
affyr|ˈ?ɑ w f ʔy ɐ̯
affyre|ˈ?ɑ w f y ˌʔʌ 
affyrede|ˈ?ɑ w f y ˌʔʌ ð ə 
affyrer|ˈ?ɑ w f ʔy ˌʌ
affyres|ˈ?ɑ w f y ˌʔʌ s
affyret|ˈ?ɑ w f y ɐ̯ ˌʔʌ ð
affyring|ˈ?ɑ w f y ʁ ˌʔe ŋ
affære|a f ˈɛː ʔʌ
afføder|ˈ?ɑ w f œ ð ˌʔʌ 
affødt|ˈ?ɑ w f ʔœ t
afgang|ˈ?ɑ w ɡ ?ɑ ŋ
afgange|ˈ?ɑ w ɡ ?ɑ ŋ ə 
afgangen|ˈ?ɑ w ɡ ?ɑ ŋ ə n
afgangene|ˈ?ɑ w ɡ ?ɑ ŋ ə n ə
afgangseksamen|ˈ?ɑ w ɡ ?ɑ ŋ s ˌε k s a m ə n
afgangseksamenerne|ˈ?ɑ w ɡ ?ɑ ŋ s ˌε k s a m ə n ˌʔʌ n ə
afgangselever|ˈ?ɑ w ɡ ?ɑ ŋ s ˌe l ʔe ʋ ˌʔʌ 
afgangseleverne|ˈ?ɑ w ɡ ?ɑ ŋ s ˌe l ʔe ʋ ˌʔʌ n ə
afgangsforestillingen|ˈ?ɑ w ɡ ?ɑ ŋ s f ˌɒɒ ɒ s t ˌʔe l ʔe ŋ ə n
afgangshallen|ˈ?ɑ w ɡ ?ɑ ŋ s h ˌa l ə n
afgangsprøve|ˈ?ɑ w ɡ ?ɑ ŋ s p ʁ ˌœ ʋ ə 
afgangstiderne|ˈ?ɑ w ɡ ?ɑ ŋ s t ˌʔi ð ʌ n ə 
afgav|ˈ?ɑ w ɡ a w
afghanere|?ɑ w ɡ ˈa n ʔʌ ʔʌ
afghanistan|?ɑ w ɡ ˈa n ʔi s t ˌa n
afghanistans|?ɑ w ɡ ˈa n ʔi s t ˌa n s
afghansk|?ɑ w ɡ ˈa n s k
afghanske|?ɑ w ɡ ˈa n s k ə 
afgift|ˈ?ɑ w ɡ ʔi f t
afgiften|ˈ?ɑ w ɡ ʔi f d ə n
afgifter|ˈ?ɑ w ɡ ʔi f t ˌʔʌ
afgifterne|ˈ?ɑ w ɡ ʔi f t ˌʔʌ n ə
afgifts|ˈ?ɑ w ɡ ʔi f t s
afgiftsbelastningen|ˈ?ɑ w ɡ ʔi f t s b ˌʔe l a s t n ˌʔe ŋ ə n
afgiftsinstrumentet|ˌ?ɑ w ɡ ʔi f t s ˌʔe n s t ʁ ʔu m ˈε n t ə ð
afgiftskroner|ˈ?ɑ w ɡ ʔi f t s ɡ ʁ ˌo n ʔʌ 
afgiftslempelsen|ˈ?ɑ w ɡ ʔi f t s l ˌε m p ə l s ə n
afgiftspligtige|ˈ?ɑ w ɡ ʔi f t s p l ʔe ɡ t ˌʔi ə
afgiftsregler|ˈ?ɑ w ɡ ʔi f t s ʁ ˌε j l ʔʌ
afgiftsstigninger|ˈ?ɑ w ɡ ʔi f t s t ˌʔi j n ʔe ŋ ˌʔʌ
afgiftsstop|ˈ?ɑ w ɡ ʔi f t s t ˌʔʌ p
afgik|ˈ?ɑ w ɡ ʔi k
afgive|ˈ?ɑ w ɡ ʔi
afgiver|ˈ?ɑ w ɡ ʔi ɐ̯
afgivet|ˈ?ɑ w ɡ i ə ð
afgjorde|ˈ?ɑ w ɡ j o ˌʌ
afgjort|ˈ?ɑ w ɡ j ʔo ɐ̯ t
afgrund|ˈ?ɑ w ɡ ʁ ɒ n
afgrunden|ˈ?ɑ w ɡ ʁ ɒ n ə n
afgrundens|ˈ?ɑ w ɡ ʁ ɒ n ə n s
afgrænse|ˈ?ɑ w ɡ ʁ ?a n s ə 
afgrænset|ˈ?ɑ w ɡ ʁ ?a n s ə ð
afgrænsning|ˈ?ɑ w ɡ ʁ ?a n s n ˌʔe ŋ
afgræsse|ˈ?ɑ w ɡ ʁ ?a s ə 
afgrøder|ˈ?ɑ w ɡ ʁ œ ð ˌʔʌ 
afgrøderne|ˈ?ɑ w ɡ ʁ œ ð ˌʔʌ n ə
afgåede|ˈ?ɑ w ɡ ɒ ə ð ə
afgående|ˈ?ɑ w ɡ ɒ ə n ə
afgået|ˈ?ɑ w ɡ ɒ ə ð
afgår|ˈ?ɑ w ɡ ɒɒ
afgør|ˈ?ɑ w ɡ ʔœ ɐ̯
afgørelse|ˈ?ɑ w ɡ œ ˌʔʌ l s ə
afgørelsen|ˈ?ɑ w ɡ œ ˌʔʌ l s ə n
afgørelser|ˈ?ɑ w ɡ œ ˌʔʌ l s ʔʌ
afgørelserne|ˈ?ɑ w ɡ œ ˌʔʌ l s ʔʌ n ə
afgørelsesbrev|ˈ?ɑ w ɡ œ ˌʔʌ l s ə s b ɐ̯ ε w
afgøres|ˈ?ɑ w ɡ œ ˌʔʌ s
afhandling|ˈ?ɑ w h a n l ˌʔe ŋ
afhandlingen|ˈ?ɑ w h a n l ˌʔe ŋ ə n
afhang|ˈ?ɑ w h ?ɑ ŋ
afhente|ˈ?ɑ w h ε n d ə 
afhentes|ˈ?ɑ w h ε n d ə  s
afhentet|ˈ?ɑ w h ε n t ə ð
afhentning|ˈ?ɑ w h ε n t n ˌʔe ŋ
afhentningssteder|ˈ?ɑ w h ε n t n ˌʔe ŋ s t ε ð ˌʔʌ 
afhjulpet|ˈ?ɑ w j ɒ l p ə ð
afhjælpe|ˈ?ɑ w j ε l p ə
afhjælper|ˈ?ɑ w j ε l p ˌʔʌ 
afhjælpes|ˈ?ɑ w j ε l p ə  s
afholdelse|ˈ?ɑ w h ʔʌ l ə l s ə 
afhænde|ˈ?ɑ w h ε n ə 
afhændelse|ˈ?ɑ w h ε n ə l s ə 
afhændet|ˈ?ɑ w h ε n ə ð
afhænger|ˈ?ɑ w h ε ŋ ˌʔʌ
afhængig|?ɑ w h ˈε ŋ i
afhængige|?ɑ w h ˈε ŋ i ə 
afhængighed|?ɑ w h ˈε ŋ i h ˌʔe ð
afhængigheden|?ɑ w h ˈε ŋ i h ˌʔe ð ə n
afhængighedens|?ɑ w h ˈε ŋ i h ˌʔe ð ə n s
afhængighedsbehandling|?ɑ w h ˈε ŋ i h ˌʔe ð s b ʔe h ˌa n l ʔe ŋ
afhængighedsskabende|?ɑ w h ˈε ŋ i h ˌʔe ð s k a b ə n ə
afhængigt|?ɑ w h ˈε ŋ i t
afhøre|ˈ?ɑ w h œ ˌʔʌ
afhører|ˈ?ɑ w h œ ˌʔʌ
afhøres|ˈ?ɑ w h œ ˌʔʌ s
afhøring|ˈ?ɑ w h œ ʁ ˌʔe ŋ
afhøringen|ˈ?ɑ w h œ ʁ ˌʔe ŋ ə n
afhøringer|ˈ?ɑ w h œ ʁ ˌʔe ŋ ʔʌ
afhøringsteknikker|ˈ?ɑ w h œ ʁ ˌʔe ŋ s t ʔe k n ˌʔi k ʔʌ
afhørt|ˈ?ɑ w h ʔœ ɐ̯ t
afhørte|ˈ?ɑ w h ʔœ ɐ̯ d ə 
afhøstede|ˈ?ɑ w h ʔœ s t ə ð ə
afhøvling|ˈ?ɑ w h ʔœ w l ˌʔe ŋ
afideologiserede|ˌ?ɑ w i d ˌʔe ʔo l ɒ ɡ ˈi s  ɐ̯ ʔʌ ð ə
afk|ˈ?ɑ w k
afkald|ˈ?ɑ w k a l
afkast|ˈ?ɑ w k a s t
afkastet|ˈ?ɑ w k a s t ə ð
afklapsning|ˈ?ɑ w k l ?ɑ p s n ˌʔe ŋ
afklare|ˈ?ɑ w k l ɑ ˌɑ 
afklares|ˈ?ɑ w k l ɑ ˌɑ  s
afklaret|ˈ?ɑ w k l ɑ ˌ?ɑ ə ð
afklaring|ˈ?ɑ w k l ɑ ʁ ˌʔe ŋ
afklaringen|ˈ?ɑ w k l ɑ ʁ ˌʔe ŋ ə n
afkoblet|ˈ?ɑ w k ʔʌ b l ə ð
afkode|ˈ?ɑ w k o ð ə 
afkorte|ˈ?ɑ w k ɒɒ d ə 
afkortet|ˈ?ɑ w k ɒɒ t ə ð
afkriminaliseres|ˈ?ɑ w k ʁ ʔi m ˌʔi n a l ˌi s ʔʌ ʔʌ s
afkroge|ˈ?ɑ w k ʁ ɒ w ə 
afkræfte|ˈ?ɑ w k ʁ ?a f d ə 
afkræftet|ˈ?ɑ w k ʁ ?a f t ə ð
afkræve|ˈ?ɑ w k ʁ ɛ ʋ ə 
afkøle|ˈ?ɑ w k œ l ə 
afkølet|ˈ?ɑ w k œ l ə ð
afkøling|ˈ?ɑ w k œ l ˌʔe ŋ
afkørsel|ˈ?ɑ w k ʔœ ɐ̯ s ə l
afkørslen|ˈ?ɑ w k ʔœ ɐ̯ s l ə n
aflagde|ˈ?ɑ w l aa ə
aflagt|ˈ?ɑ w l ?ɑ ɡ t
aflagte|ˈ?ɑ w l ?ɑ ɡ d ə 
aflang|ˈ?ɑ w l ?ɑ ŋ
aflange|ˈ?ɑ w l ?ɑ ŋ ə 
aflaste|ˈ?ɑ w l a s d ə 
aflaster|ˈ?ɑ w l a s t ˌʔʌ 
afleder|ˈ?ɑ w l e ð ˌʌ
afledningen|ˈ?ɑ w l ʔe ð n ˌʔe ŋ ə n
afleverede|ˈ?ɑ w l ə ʋ e ɐ̯ ˌʔʌ ð ə
afleverer|ˈ?ɑ w l ə ʋ e ˌʌ
afleveres|ˈ?ɑ w l ə ʋ e ˌʔʌ s
afleveret|ˈ?ɑ w l ə ʋ e ɐ̯ ˌʔʌ ð
afleveringer|ˈ?ɑ w l ə ʋ e ʁ ˌʔe ŋ ʔʌ
afleveringsdag|ˈ?ɑ w l ə ʋ e ʁ ˌʔe ŋ s d a
aflistet|ˈ?ɑ w l ʔe s t ə ð
afliv|ˈ?ɑ w l ʔi w
aflivede|ˈ?ɑ w l i ʋ ə ð ə
afliver|ˈ?ɑ w l i ʋ ˌʔʌ 
aflives|ˈ?ɑ w l i ʋ ə  s
aflivet|ˈ?ɑ w l ʔi ʋ ə ð
aflivning|ˈ?ɑ w l ʔi w n ˌʔe ŋ
aflivningen|ˈ?ɑ w l ʔi w n ˌʔe ŋ ə n
aflivninger|ˈ?ɑ w l ʔi w n ˌʔe ŋ ʔʌ
aflivningerne|ˈ?ɑ w l ʔi w n ˌʔe ŋ ʔʌ n ə
aflivningshold|ˈ?ɑ w l ʔi w n ˌʔe ŋ s h ʔʌ l
aflukket|ˈ?ɑ w l ɒ k ə ð
aflure|ˈ?ɑ w l u ˌʔʌ
aflys|ˈ?ɑ w l ʔy s
aflyser|ˈ?ɑ w l ʔy s ˌʔʌ
aflyses|ˈ?ɑ w l y s ə  s
aflysning|ˈ?ɑ w l ʔy s n ˌʔe ŋ
aflysningen|ˈ?ɑ w l ʔy s n ˌʔe ŋ ə n
aflysninger|ˈ?ɑ w l ʔy s n ˌʔe ŋ ʔʌ
aflysningerne|ˈ?ɑ w l ʔy s n ˌʔe ŋ ʔʌ n ə
aflyst|ˈ?ɑ w l ʔy s t
aflyste|ˈ?ɑ w l ʔy s d ə 
aflytninger|ˈ?ɑ w l y t n ˌʔe ŋ ʔʌ
aflytningerne|ˈ?ɑ w l y t n ˌʔe ŋ ʔʌ n ə
aflytningssikret|ˈ?ɑ w l y t n ˌʔe ŋ s ʔe k ɐ̯ ˌʔʌ ð
aflyttede|ˈ?ɑ w l ʔy t ə ð ə
aflytterne|ˈ?ɑ w l ʔy t ˌʔʌ n ə
aflåse|ˈ?ɑ w l ɒ s ə 
aflåst|ˈ?ɑ w l ɒ s t
aflægge|ˈ?ɑ w l ε ɡ ə 
aflæggelse|ˈ?ɑ w l ε ɡ ə l s ə
aflægger|ˈ?ɑ w l ε ɡ ˌʔʌ
aflæse|ˈ?ɑ w l ɛ s ə 
aflæses|ˈ?ɑ w l ɛ s ə  s
aflæsning|ˈ?ɑ w l ε s n ˌʔe ŋ
aflæsse|ˈ?ɑ w l ε s ə 
afløbsriste|ˈ?ɑ w l ʔœ b s ʁ ˌʔe s d ə 
afløbsrør|ˈ?ɑ w l ʔœ b s ʁ ˌʔœ ɐ̯
afløbssystem|ˈ?ɑ w l ʔœ b s ˌʔy s t ε m
aflønnet|ˈ?ɑ w l ʔœ n ə ð
aflønning|ˈ?ɑ w l ʔœ n ˌʔe ŋ
afløse|ˈ?ɑ w l ʔœ s ə
afløser|ˈ?ɑ w l ʔœ s ˌʔʌ
afløst|ˈ?ɑ w l ʔœ s t
afløste|ˈ?ɑ w l ʔœ s d ə 
afmagrede|ˈ?ɑ w m ?ɑ ɡ ɐ̯ ˌʔʌ ð ə
afmatning|ˈ?ɑ w m a t n ˌʔe ŋ
afmatningen|ˈ?ɑ w m a t n ˌʔe ŋ ə n
afmontere|ˈ?ɑ w m ʔo n t ˌʔʌ ʔʌ
afmonterer|ˈ?ɑ w m ʔo n t ˌʔe ʌ
afmonteret|ˈ?ɑ w m ʔo n t ˌʔʌ ɐ̯ ʔʌ ð
afmålte|ˈ?ɑ w m ɒ l d ə
afmægtig|?ɑ w m ˈε ɡ t i
afmærkede|ˈ?ɑ w m ε ɐ̯ k ə ð ə
afmærket|ˈ?ɑ w m ε ɐ̯ k ə ð
afmærkning|ˈ?ɑ w m ε ɐ̯ k n ˌʔe ŋ
afmærkninger|ˈ?ɑ w m ε ɐ̯ k n ˌʔe ŋ ʔʌ
afmærkningerne|ˈ?ɑ w m ε ɐ̯ k n ˌʔe ŋ ʔʌ n ə
aforismer|ˌa f ʔʌ ˈʔi s m ʔʌ ɐ̯
afp|ˈ?ɑ w p
afp's|ˈ?ɑ w p s
afpasser|ˈ?ɑ w p a s ˌʔʌ
afpasses|ˈ?ɑ w p a s ə  s
afpersonalet|ˈ?ɑ w p ε ɐ̯ s ˌʔo n a l ə ð
afpillet|ˈ?ɑ w p ʔe l ə ð
afpolitisering|ˈ?ɑ w p ʔo l ˌʔi t i s ˌʔe ɐ̯ ʔe ŋ
afpresse|ˈ?ɑ w p ʁ ?a s ə 
afprøve|ˈ?ɑ w p ʁ œ ʋ ə
afprøver|ˈ?ɑ w p ʁ œ ʋ ˌʔʌ 
afprøvet|ˈ?ɑ w p ʁ œ ʋ ə ð
afprøvninger|ˈ?ɑ w p ʁ ʔœ w n ˌʔe ŋ ʔʌ
afrapportere|ˌ?ɑ w ʁ ?ɑ p ˈɒ t ʔʌ ʔʌ
afrapporteres|ˌ?ɑ w ʁ ?ɑ p ˈɒ t ʔʌ ʔʌ s
afregnes|ˈ?ɑ w ʁ ?ɑ j n ə  s
afregning|ˈ?ɑ w ʁ ?ɑ j n ˌʔe ŋ
afrejse|ˈ?ɑ w ʁ ?ɑ j s ə 
afrejsen|ˈ?ɑ w ʁ ?ɑ j s ə n
afrettet|ˈ?ɑ w ʁ ?a t ə ð
afrika|ˈ?ɑ f ʁ ʔi k ˌa
afrikanerne|ˌ?ɑ f ʁ ʔi k ˈa n ʔʌ n ə
afrikanske|ˌ?ɑ f ʁ ʔi k ˈa n s k ə
afrikas|ˈ?ɑ f ʁ ʔi k ˌa s
afrime|ˈ?ɑ w ʁ i m ə 
afroamerikaner|ˈ?ɑ f ʁ ʔo ˌ?ɑ m ə ʁ ʔi k ˌa n ʔʌ 
afrofuturisme|ˈ?ɑ f ʁ ʔo f ˌʔu t ʔu ʁ ˌʔi s m ə 
afrusning|ˈ?ɑ w ʁ u s n ˌʔe ŋ
afsagt|ˈ?ɑ w s ?ɑ ɡ t
afsat|ˈ?ɑ w s a t
afsatte|ˈ?ɑ w s a t ə 
afsavn|ˈ?ɑ w s ɑ w n
afsavnet|ˈ?ɑ w s ɑ w n ə ð
afse|ˈ?ɑ w s ʔe
afsejlet|ˈ?ɑ w s ?ɑ j l ə ð
afsejling|ˈ?ɑ w s ?ɑ j l ˌʔe ŋ
afsendende|ˈ?ɑ w s ε n ə n ə
afsender|ˈ?ɑ w s ε n ˌʔʌ
afsenderen|ˈ?ɑ w s ε n ˌʔʌ ʔʌ n
afsenderens|ˈ?ɑ w s ε n ˌʔʌ ʔʌ n s
afsendt|ˈ?ɑ w s ε n t
afsides|ˈ?ɑ w s i ð ə  s
afsigelse|ˈ?ɑ w s i ə l s ə
afsikrede|ˈ?ɑ w s ʔe k ɐ̯ ˌʔʌ ð ə
afsindig|?ɑ w s ˈʔe n d i
afsindigt|?ɑ w s ˈʔe n d i t
afsjælede|ˈ?ɑ w s j ɛ l ə ð ə
afskaffe|ˈ?ɑ w s k ?ɑ f ə
afskaffede|ˈ?ɑ w s k ?ɑ f ə ð ə
afskaffelsen|ˈ?ɑ w s k ?ɑ f ə l s ə n
afskaffer|ˈ?ɑ w s k ?ɑ f ˌʔʌ 
afskaffes|ˈ?ɑ w s k ?ɑ f ə  s
afskaffet|ˈ?ɑ w s k ?ɑ f ə ð
afskeden|ˈ?ɑ w s k ʔe ð ə n
afskedige|ˈ?ɑ w s k e ð ˌi ə
afskedigede|ˈ?ɑ w s k e ð ˌi ə ð ə 
afskedigelse|ˈ?ɑ w s k e ð ˌi ə l s ə 
afskedigelserne|ˈ?ɑ w s k e ð ˌi ə l s ʔʌ n ə
afskediges|ˈ?ɑ w s k e ð ˌi ə s
afskediget|ˈ?ɑ w s k e ð ˌi ə ð
afskedsbegæring|ˈ?ɑ w s k ʔe ð s b ˌʔe ɡ ε ʁ ˌʔe ŋ
afskedsbæger|ˈ?ɑ w s k ʔe ð s b ˌɛ j ʔʌ
afskedshyldest|ˈ?ɑ w s k ʔe ð s h ˌʔy l ə s t
afskedsinterview|ˌ?ɑ w s k ʔe ð s ˌʔe n t ʔʌ ʋ j ˈu
afskedsmailen|ˈ?ɑ w s k ʔe ð s m ˌɛ j l ə n
afskedsreception|ˈ?ɑ w s k ʔe ð s ʁ ˌɛ s ʔe p ʃ ˌʔo n
afskibes|ˈ?ɑ w s k i b ə  s
afskibningssted|ˈ?ɑ w s k ʔi b n ˌʔe ŋ s t ε ð
afskrive|ˈ?ɑ w s ɡ ʁ i ʋ ə 
afskrivninger|ˈ?ɑ w s ɡ ʁ ʔi w n ˌʔe ŋ ʔʌ
afskrække|ˈ?ɑ w s ɡ ʁ ?a k ə 
afskudt|ˈ?ɑ w s k ʔu t
afskudte|ˈ?ɑ w s k ʔu d ə 
afskydningen|ˈ?ɑ w s k ʔy ð n ˌʔe ŋ ə n
afskyelige|?ɑ w s k ˈy ə l ʔi ə 
afskygninger|ˈ?ɑ w s k ʔy ɡ n ˌʔe ŋ ʔʌ
afskyr|ˈ?ɑ w s k ʔy ɐ̯
afskåret|ˈ?ɑ w s k ɒ ˌɒ ð
afskære|ˈ?ɑ w s k ɛ ˌʔʌ 
afskærme|ˈ?ɑ w s k ε ɐ̯ m ə 
afskærmet|ˈ?ɑ w s k ε ɐ̯ m ə ð
afskærmning|ˈ?ɑ w s k ε ɐ̯ m n ˌʔe ŋ
afskærmninger|ˈ?ɑ w s k ε ɐ̯ m n ˌʔe ŋ ʔʌ
afslag|ˈ?ɑ w s l a j
afslagene|ˈ?ɑ w s l a j ə n ə 
afslaget|ˈ?ɑ w s l a j ə t
afslapning|ˈ?ɑ w s l ?ɑ p n ˌʔe ŋ
