&|ɟ ˈəʊɜ v ˌaː2 
audouard| ˈɔː7 d w ɑː1 ɹ ə1 d  
audrey| ˈɔː7 d ɹ ii  
auf| ˈɔː7 f  
auger|ˈaː1  ˈu1  ð ˈe7  ˈɛ1  ˈɛ7 ʐ əː2 
augsburg|ˈaː1  ˈu1  ð ˈe7  ˈɛɜ s  b ˈe1  ˈu1  ˈɛ1 ʐ əː2  ð ˈe7 
augusto| ɔː1 ɡ ˈʌ7 s t əʊəʊ  
aukus|ˈaː1  ˈu1  k ˈaː1  ˈu1  ˈɛɜ s 
aum|ˈa7 w m 
aura|ˈa7 w z aː1 
aurecon| ˈɔː7 ɹ ɛ1 k ə1 n  
aurelien| ɔː1 ɹ ˈɛ7 l iə1 n  
aureus| ˈɔː7 ɹ ɪ1  ə1 s  
austin|ˈa7 w s t̪ i1 n 
australia| ɒ1 s t ɹ ˈeɪ7 l iə1  
australian| ɒ1 s t ɹ ˈeɪ7 l iə1 n  
australia…| ɒ1 s t ɹ ˈeɪ7 l iə1  
autant|(en) ˈɔː7 t ə1 n t (vi)
auto|ˈa7 w t̪ ɔ1 
autonomy|ˈa7 w t̪ ɔ1 n ˌɔ1 m i1 
autopilot| ˌɔː1 t əʊəʊ p ˈaɪ7 l ə1 t  
autres|(en) ˈɔː7 t əə z (vi)
autum|ˈa7 w t̪ u1 m 
aux|(en) ˈɔː7 k s (vi)
auxerre| ˈɔː7 k s ɛ1 ɹ ə1  
avaient|(en) ˈa7 v eɪ1 ə1 n t (vi)
avanti| ˈa7 v aa n t ii  
avantika| ˈa7 v aa n t ˌɪ1 k ə1  
avanza| a1 v ˈa7 n z ə1  
avashin| ˈa7 v ɐɐ ʃ ˌɪ1 n  
avatar| ˈa7 v ɐɐ t ˌɑːɑː  
avdiivka| ˈa7 v d ɪ1  ˌɪ1 v k ə1  
avec|(en) ˈa7 v ɛ1 k (vi)
aveiro| a1 v ˈeə7 ɹ əʊəʊ  
avenanthramide| ˈa7 v ə1 n ˌaa n θ ɹ ɐɐ m ˌaɪ1 d  
aventador| ˈa7 v ə1 n t ˌa1 d ɔːɔː  
aventis| a1 v ˈɛ7 n t ii z  
avery| ˈeɪ7 v ə1 ɹ ii  
avg| ˌeɪ1 v ˌiː1 dʒ ˈiː7  
aviation| ˌeɪ1 v ɪ1  ˈeɪ7 ʃ ə1 n  
aviator| ˈeɪ7 v ɪ1  ˌeɪ1 t əə  
avidin| ˈa7 v ɪ1 d ˌɪ1 n  
avion|(en) ˈeɪ7 v ɪ1  ə1 n (vi)
aviv| ˈa7 v aɪ1 v  
awacs| ɐɐ w ˈa7 k s  
awards| ɐɐ w ˈɔːɔː d z  
aws| ˈɔː7 z  
axel| ˈa7 k s ələl  
axetic| a1 k s ˈɛ7 t ɪ1 k  
axeton| ˈa7 k s ɛ1 t ə1 n  
axie| ˈeɪ7 k s ii  
axolotl| ˈa7 k s ə1 l ˌɒ1 t ələl  
axti| ˈa7 k s t ii  
ayew| ˈaɪ7 j uː1  
ayman|ˈa7 j m aː1 n 
ayrton|ˈa7 j z t̪ ɔ1 n 
ayurved| ˈaɪ7 ɜː1 v d  
aza| ˈɑː7 z ə1  
azar| ˈa7 z ɑːɑː  
azerbaijan| ˌa1 z əə b aɪ1 dʒ ˈɑː7 n  
azizuddin| ˈa7 z ɪ1 z ˌʌ1 d ɪ1 n  
azota| a1 z ˈəʊəʊ t ə1  
azoty| ˈa7 z ɒ1 t ii  
azotygrupa| ˈa7 z ə1 t ˌɪ1 ɡ ɹ uː1 p ə1  
azov| ˈa7 z ɒ1 v  
azovstal| ˈa7 z ɒ1 v s t ələl  
azpilicueta| ˈa7 z p ɪ1 l ˌɪ1 k j uː1 ə1 t ə1  
azua| ˈa7 z j uː1 ə1  
án|ˈaːɜ n 
ánh|ˈe-ɜ ɲ 
áo|ˈaːɜ w 
áp|ˈaːɜ p 
ả|ˈaː4 
ảnh|ˈe-4 ɲ 
aі|ˈaː1    s ɪ1 ɹ ˈɪ1 l ɪ1 k  l ˈe1 t ə1   b ˈoɜ n  n ˈa1 m  s ˈaʊɜ  
aỉ|ˈaː4 j
b|b ˈe7
b&d|b ˈe1  ɟ ˈəʊɜ v ˌaː2  d ˈe7 
ba|b ˈaː7
bab| b ˈaː7 b 
babel| b ˈeɪ7 b ələl  
babis| b ˈa7 b ɪ1 s  
babiya| b ˈa7 b ɪ1 j ə1  
baby|(en) b ˈeɪ7 b ii (vi)
babydoll| b ˈeɪ7 b ɪ1 d ˌɒ1 l  
babyface| b ˈeɪ7 b ɪ1 f ˌeɪ1 s  
bac| b ˈa7 k  
bacon| b ˈeɪ7 k ə1 n  
bacuna| b a1 k ˈuː7 n ə1  
bada| b ˈɑː7 d ə1  
badboy| b ˈa7 d b ɔɪ1  
bader| b ˈeɪ7 d əə  
bae| b ˈiː7  
baf| b ˈa7 f  
bag|b ˈe1  ˈaː1  ð ˈe7 
baggott| b ˈa7 ɡ ɒ1 t  
bagh| b ˈaː7 ɣ 
baghdad| b a1 ɡ d ˈa7 d  
bago| b ˈeɪ7 ɡ əʊəʊ  
bahamas| b a1 h ˈɑː7 m ə1 z  
bahamian| b a1 h ˈeɪ7 m iə1 n  
bahia| b a1 ˈiː7  ə1  
bahlil| b ˈɑː7 l ɪ1 l  
bahnar| b ˈɑː7 n ɑːɑː  
bahrain| b ɑː1 ɹ ˈeɪ7 n  
bahru| b ˈɑː7 ɹ uː1  
bai|b ˈaː7 j
baidu| b ˈaː7 j z u1 
baifern|b ˈe1  ˈaː1  ˈi1  ˈɛɜ p  ˈɛ1  ˈɛ1 ʐ əː2  ˈɛ7 n əː2 
bailly| b ˈaː7 j l l i1 
bainimarama| b ˌeɪ1 n ɪ1 m ɐɐ ɹ ˈɑː7 m ə1  
bainville|(en) b ˈeɪ7 n v ɪ1 l (vi)
baja| b ˈɑː7 h ɑː1  
bakel| b ˈeɪ7 k ələl  
baker| b ˈeɪ7 k əə  
bakhmut| b ˈa7 k h m ʌ1 t  
baking| b ˈeɪ7 k ɪ1 ŋ  
bakiri| b a1 k ˈiə7 ɹ ii  
baklava| b a1 k l ˈɑː7 v ə1  
baku| b ˈɑː7 k uː1  
bal|(en) b ˈa7 l (vi)
balamissa| b ˌa1 l ɐɐ m ˈɪ7 s ə1  
balance| b ˈa7 l ə1 n s  
bale| b ˈeɪ7 l  
balearic| b eɪ1 l ˈa7 ɹ ɪ1 k  
bali| b ˈɑː7 l ii  
balkan| b ˈɔː7 l k ə1 n  
ball| b ˈɔː7 l  
ballard| b ˈa7 l ɑːɑː d  
ballet| b ˈa7 l eɪ1  
balletcore| b ˈa7 l ɪ1 t k ˌɔːɔː  
balloux| b ˈa7 l uː1  
balmora| b ˈɑː7 m ɔːɔː ɹ ə1  
balmoral| b a1 l m ˈɒ7 ɹ ələl  
balo| b ˈɑː7 l əʊəʊ  
balochistan| b ɐɐ l ˈəʊəʊ tʃ ɪ1 s t ˌa1 n  
balotelli| b ˌa1 l ə1 t ˈɛ7 l ɪ1  
baltic| b ˈɒ7 l t ɪ1 k  
baltimore| b ˈɒ7 l t ɪ1 m ˌɔːɔː  
baluchestan| b ˌa1 l ə1 tʃ ɪ1 s t ˈɑː7 n  
bambang| b a1 m b ˈa7 ŋ  
bambi”| b ˈa7 m b iː1  
bamboo| b a1 m b ˈuː7  
ban|b ˈaː7 n
bancassurance| b ˈaa ŋ k ə1 ʃ ˌʊə1 ɹ ə1 n s  
bandara| b a1 n d ˈɑːɑː ɹ ə1  
bangkok| b ˈa7 ŋ k ɒ1 k  
bangladesh| b ˌa1 ŋ ɡ l ɐɐ d ˈɛ7 ʃ  
bangtantv| b ˈa7 ŋ t aa n t ˌiː1 v iː1  
bang”| b ˈaː7 ŋ 
bank| b ˈa7 ŋ k  
banker| b ˈa7 ŋ k əə  
banking| b ˈa7 ŋ k ɪ1 ŋ  
bankman| b ˈa7 ŋ k m ə1 n  
banner| b ˈa7 n əə  
bannon| b ˈa7 n ə1 n  
banteay| b ˈaa n t iː1  ii  
banyan| b ˈa7 n j ə1 n  
ban”| b ˈaː7 n 
bao|b ˈaː7 w
baodautu| b ˈaː7 w z a1 w t̪ ˌu1 
bar|(en) b ˈɑːɑː (vi)
barack| b ɐɐ ɹ ˈɑː7 k  
barbara| b ˈɑːɑː b ə1 ɹ ə1  
barbie| b ˈɑːɑː b ii  
barca| b ˈɑːɑː k ə1  
barcelona| b ˌɑːɑː s ɪ1 l ˈəʊəʊ n ə1  
barcelona…| b ˌɑːɑː s ɪ1 l ˈəʊəʊ n ə1  
baricco| b a1 ɹ ˈɪ7 k əʊəʊ  
barie| b ˈeɪ7 ɹ ii  
barie”| b ˈeɪ7 ɹ ii  
barker| b ˈɑːɑː k əə  
barkley| b ˈɑːɑː k l ii  
barleigh| b ˈɑːɑː l iː1  
barnabas| b ɑːɑː n ˈɑː7 b ə1 z  
barnaby| b ˈɑːɑː n ə1 b ii  
barnes| b ˈɑːɑː n z  
barr| b ˈɑːɑː  
barry| b ˈa7 ɹ ii  
barrès|(en) b ˈɑːɑː z (vi)
bartender| b ˈɑːɑː t ɛ1 n d əə  
bartomeu| b ˈɑːɑː t əʊəʊ m ˌuː1  
bartosz| b ˈɑːɑː t ɒ1 s z  
bar’| b ˈɑːɑː  
bas|(en) b ˈa7 s (vi)
basa| b ˈɑː7 s ə1  
basaksehir| b ˈa7 s ɐɐ k s ˌɛ1 h iə1  
based| b ˈeɪ7 s t  
basel| b ˈɑː7 z ələl  
baseline| b ˈeɪ7 s l aɪ1 n  
basell| b ˈeɪ7 s ələl  
basement| b ˈeɪ7 s m ə1 n t  
basf| b ˈa7 s f  
bashagha| b ˈa7 ʃ a1 ɡ h ə1  
basic| b ˈeɪ7 s ɪ1 k  
baskaran| b ˈaa s k a1 ɹ ə1 n  
basket| b ˈaa s k ɪ1 t  
basquiat| b ˈa7 s k w ɪ1  ˌa1 t  
bassanese| b ˌa1 s ə1 n ˈiː7 z  
bassett| b ˈa7 s ɪ1 t  
bassouamina| b ˈa7 s w ɑː1 m ˌɪ1 n ə1  
bastion| b ˈa7 s t iə1 n  
basualdo| b ˌa1 ʒ uː1 ˈa7 l d əʊəʊ  
basyan| b ˈa7 s ɪ1  ə1 n  
bataine| b ˈa7 t eɪ1 n  
batdongsan| b ˈa7 t d ɒ1 ŋ s ə1 n  
batisse| b ˈa7 t ɪ1 s  
batken| b ˈa7 t k ə1 n  
batman| b ˈa7 t m a1 n  
battle| b ˈa7 t ələl  
baudelaire|(en) b ˌɔː1 d ɪ1 l ˈeə7 (vi)
baudinet| b ˈɔː7 d ɪ1 n ˌɛ1 t  
bavarian| b ɐɐ v ˈeə7 ɹ iə1 n  
bay| b ˈa7 j 
bayarena| b ˈeɪ7 ɐɐ ɹ ˌɛ1 n ə1  
bayer| b ˈeɪ7 əə  
bayern| b ˈeɪ7 əə n  
bayraktar| b ˈeɪ7 ɹ a1 k t əə  
bayraktars| b ˈeɪ7 ɹ a1 k t əə z  
bayt| b ˈa7 j t̪ 
baywatch| b ˈeɪ7 w ɒ1 tʃ  
bay“| b ˈa7 j 
bay”| b ˈa7 j 
baza| b ˈɑː7 z ə1  
bazan| b ˈa7 z ə1 n  
baơ| b ˈaʊ7  
bà| b ˈaː2 
bài| b ˈaː2 j 
bàn| b ˈaː2 n 
bào| b ˈaː2 w 
bá| b ˈaːɜ 
bác| b ˈaːɜ c 
bán| b ˈaːɜ n 
bánh| b ˈe-ɜ ɲ 
báo| b ˈaːɜ w 
bão| b ˈaː5 w 
bằng| b ˈaː7 ŋ 
bản| b ˈaː4 n 
bảng| b ˈaː4 ŋ 
bảo| b ˈaː4 w 
bảy| b ˈa4 j 
bại| b ˈaː6 j 
bạn| b ˈaː6 n 
baּo|b ˈe1  ˈaː1    h ˈiː1 b ɹ uː1  d ˈa1 ɡ ɛ1 ʃ   ˈɔ7 
ba’| b ˈaː7 
ba”| b ˈaː7 
bb|b ˌe1 b ˈe7 
bbb|b ˌe1 b ˌe1 b ˈe7 
bbc|b ˌe1 b ˌe1 s ˈe7 
bbcb|b ˌe1 b ˌe1 s ˌe1 b ˈe7 
bbq|b ˌe1 b ˌe1 k w ˈi7 
bca| b k ˈaː7 
bcg|b ˌe1 s ˌe1 ð ˈe7 
bch|b ˌe1 s ˌe1 h ˈaɜ t 
bcm|b ˌe1 s ˌe1 ˈɛ7 m əː2 
bctn|b ˌe1 s ˌe1 t ˌe1 ˈɛ7 n əː2 
beach| b ˈiː7 tʃ  
beacon| b ˈiː7 k ə1 n  
beam| b ˈiː7 m  
bean| b ˈiː7 n  
beanstalk| b ˈiː7 n s t ɔː1 k  
beat| b ˈiː7 t  
beatrix| b ˈiə7 t ɹ ɪ1 k s  
beautiful| b j ˈuː7 t ii f ələl  
beauty| b j ˈuː7 t ii  
bebe| b ɪ1 b ˈɛ7  
becamex| b ɪ1 k ˈeɪ7 m ɛ1 k s  
beckenbauer| b ˈɛ7 k ə1 n b ˌaʊ1 əə  
becker| b ˈɛ7 k əə  
beckham| b ˈɛ7 k ə1 m  
beckinsale| b ˈɛ7 k ɪ1 n s ˌeɪ1 l  
becks| b ˈɛ7 k s  
bedouin| b ˈɛ7 d uː1 ɪ1 n  
beef| b ˈiː7 f  
beek| b ˈiː7 k  
been| b ˌiː1 n  
beenzino| b iː1 n z ˈiː7 n əʊəʊ  
beer| b ˈiə7  
beethoven| b ˈeɪ7 t əʊəʊ v ə1 n  
begich| b ɪ1 dʒ ˈɪ7 tʃ  
behdad| b ˈeɪ7 d a1 d  
beijing| b eɪ1 dʒ ˈɪ7 ŋ  
beiranvand| b ˈeə7 ɹ ɐɐ n v ˌa1 n d  
belarus| b ˌɛ1 l ə1 ɹ ˈuː7 s  
belgorod| b ˈɛ7 l ɡ ɔːɔː ɹ ˌɒ1 d  
bell| b ˈɛ7 l  
bella| b ˈɛ7 l ə1  
belle|(en) b ˈɛ7 l (vi)
bellerin| b ˈɛ7 l əə ɹ ˌɪ1 n  
bellingam| b ˈɛ7 l ɪ1 ŋ ɡ ˌa1 m  
bellingham| b ˈɛ7 l ɪ1 ŋ ə1 m  
belousov| b ɪ1 l ˈaʊ7 s ɒ1 v  
beloved| b ɪ1 l ˈʌ7 v d  
belozersky| b ɪ1 l ˈəʊəʊ z əə s k ii  
beluga| b ɪ1 l ˈuː7 ɡ ə1  
beluga…| b ɪ1 l ˈuː7 ɡ ə1  
bel’veth| b ˈɛ7 l v ə1 θ  
benedetti| b ˌɛ1 n ɪ1 d ˈɛ7 t ii  
benfica| b ˈɛ7 n f ɪ1 k ə1  
beng|b ˈɛ7 ŋ
bengkulu| b ˈɛ7 ŋ k uː1 l ˌuː1  
benhvientot| b ˈɛ7 n h v iə1 n t ˌɒ1 t  
benitez| b ɪ1 n ˈaɪ7 t ɛ1 z  
benjamin| b ˈɛ7 n dʒ ə1 m ɪ1 n  
bennacer| b ˈɛ7 n eɪ1 s əə  
bennett| b ˈɛ7 n ɪ1 t  
bensley| b ˈɛ7 n s l ii  
bentancur| b ˈɛ7 n t aa ŋ k ˌɜː1  
bentley| b ˈɛ7 n t l ii  
bento| b ˈɛ7 n t əʊəʊ  
benz| b ˈɛ7 n t s  
benzema| b ˈɛ7 n z ə1 m ə1  
benzene| b ˈɛ7 n z iː1 n  
berbagia| b ɜː1 b ˈeɪ7 dʒ ə1  
bercy| b ˈɜː7 s ii  
berdiansk| b ˈɜː7 d iə1 n s k  
berdyansk”| b ˈɜː7 d ɪ1  ˌa1 n s k  
beret| b ˈɛ7 ɹ eɪ1  
berg| b ˈɜː7 ɡ  
bergwijn| b ˈɜː7 ɡ w eɪ1 ə1 n  
bergères|(en) b ˈɜː7 dʒ əə z (vi)
berhalter| b ˈɜː7 h ɒ1 l t əə  
bering| b ˈeə7 ɹ ɪ1 ŋ  
berkshire| b ˈɜː7 k ʃ əə  
berlin| b ɜː1 l ˈɪ7 n  
berlusconi| b ˌɜː1 l ə1 s k ˈəʊəʊ n ii  
berluti| b ɜː1 l ˈuː7 t ii  
bermuda| b ɜː1 m j ˈuː7 d ə1  
bernabeu| b ˈɜː7 n ɐɐ b j ˌuː1  
bernardino| b ˌɜː1 n əə d ˈiː7 n əʊəʊ  
bernardo| b ˈɜː7 n əə d ˌəʊəʊ  
berners| b ˈɜː7 n əə z  
berrier| b ˈɛ7 ɹ ii  əə  
berry| b ˈɛ7 ɹ ii  
bershka| b əə ʃ k ˈa7  
bert|(en) b ˈɜː7 t (vi)
bertoni| b ɜː1 t ˈəʊəʊ n ii  
bertram| b ˈɜː7 t ɹ a1 m  
beryl| b ˈɛ7 ɹ ələl  
besar| b ɪ1 s ˈɑːɑː  
besiktas| b ɪ1 s ˈɪ7 k t ə1 z  
besoin|(en) b ɪ1 s ˈɔɪ7 n (vi)
bespoke| b ɪ1 s p ˈəʊəʊ k  
best| b ˈɛ7 s t  
beta| b ˈiː7 t ə1  
betancourt| b ˌiː1 t ə1 ŋ k ˈɔːɔː t  
betashares| b ˌiː1 t ə1 ʃ ˈeə7 z  
betis| b ɪ1 t ii z  
better| b ˈɛ7 t əə  
beusnard| b j ˈuː7 s n ɑːɑː d  
beverly| b ˈɛ7 v əə l ii  
beyoncé| b ˌeɪ1 ə1 n s ˈeɪ7  
bezos| b ˈɛ7 z əʊəʊ z  
bẹ| b ˈɛ6 
bfc|b ˌe1 ˌɛɜ p s ˈe7 
bfm|b ˌe1 ˌɛɜ p ˈɛ7 m əː2 
bfmtv|b ˌe1 ˌɛɜ p ˈɛ1 m əː2 t ˌe1 v ˈe7 
bg|b ˌe1 ð ˈe7 
bgi| b z 
bgk|b ˌe1 ð ˌe7 k ˈaː7 
bh|b ˌe1 h ˈaɜ t 
bharat| b ˈa7 ɹ a1 t  
bharian| b ˈeə7 ɹ iə1 n  
bhatia| b ˈeɪ7 ʃ ə1  
bhattacharjya| b ˈa7 t ɐɐ tʃ ˌɑːɑː dʒ ɪ1  ə1  
bhd|b ˌe1 h ˌaɜ t d ˈe7 
bhl|b ˌe1 h ˌaɜ t ˈɛ7 l əː2 
bhnt|b ˌe1 h ˌaɜ t ˌɛ1 n əː2 t ˈe7 
bhs|b ˌe1 h ˌaɜ t ˈɛɜ s 
bhxh|b ˌe1 h ˌaɜ t ˌiɜ c h ˈaɜ t 
bhyt| b ˈɪ7 t  
bi| b ˈi7 
bia| b ˈiə7 
bianance| b ˈaɪ7 ə1 n ə1 n s  
bianca| b ˈiə7 n k aː1 
bianes|(en) b ˈaɪ7 ə1 n z (vi)
biathlon| b ˈiə7 t l ɔ1 n 
bia…| b ˈiə7 
bib| b ˈi7 b 
bid| b ˈɪ7 d  
bidegain| b aɪ1 d ˈɛ7 ɡ eɪ1 n  
biden| b ˈaɪ7 d ə1 n  
biden’| b ˈaɪ7 d ə1 n  
bidv| b ˈi7 z v 
bieber| b ˈiː7 b əə  
bielsa| b ˈiː7 l s ə1  
bien|(en) b aɪ1 ˈɛ7 n (vi)
biersack| b ˈiə7 s a1 k  
big|b ˈe1  ˈi1  ð ˈe7
bighit| b ˈɪ7 ɡ h ɪ1 t  
bihan| b ˈɪ7 h a1 n  
bihar| b ɪ1 h ˈɑːɑː  
bii| b ˈɪ7  aɪ1  
bike| b ˈaɪ7 k  
biker| b ˈaɪ7 k əə  
bikini| b ɪ1 k ˈiː7 n ii  
bilbao| b ˈɪ7 l b aʊ1  
bilirubin| b aɪ1 l ˈɜː7 ɹ uː1 b ˌɪ1 n  
bill| b ˈɪ7 l  
billboard| b ˈɪ7 l b ɔːɔː d  
billiards| b ˈɪ7 l ɪ1  əə d z  
billy| b ˈɪ7 l ii  
bima| b ˈiː7 m ə1  
bin|b ˈi7 n
bina| b ˈiː7 n ə1  
binance| b aɪ1 n ˈa7 n s  
bing”| b ˈi7 ŋ 
binh|b ˈi7 ɲ
binh”| b ˈi7 ɲ 
binz| b ˈɪ7 n t s  
bio| b ˈaɪ7 əʊəʊ  
biocubafarma| b ˌaɪ1 əʊəʊ k j ˈuː7 b ɐɐ f ˌɑːɑː m ə1  
biologics| b ˌaɪ1 ə1 l ˈɒ7 dʒ ɪ1 k s  
biotech| b ˌaɪ1 əʊəʊ t ˈɛ7 k  
biotin| b ˌaɪ1 əʊəʊ t ˈɪ7 n  
biphosphonate| b aɪ1 f ˈɒ7 s f ə1 n ˌeɪ1 t  
bird| b ˈɜː7 d  
birkin| b ˈɜː7 k ɪ1 n  
birla| b ˈɜː7 l ə1  
birldb| b ˈɜː7 l d ˌiː1 b iː1  
birmingham| b ˈɜː7 m ɪ1 ŋ ə1 m  
bis|(en) b ˈɪ7 s (vi)
bisht| b ˈɪ7 ʃ t  
bissaka| b ɪ1 s ˈɑː7 k ə1  
bissouma| b ˈɪ7 s aʊ1 m ə1  
bita’s| b ˈiː7 t ə1 z  
bitcoin| b ˈɪ7 t k ɔɪ1 n  
bitexco| b aɪ1 t ˈɛ7 k s k əʊəʊ  
biwase| b aɪ1 w ˈeɪ7 s  
bixby| b ˈɪ7 k s b ii  
bixin| b ˈɪ7 k s ɪ1 n  
biz| b ˈɪ7 z  
bizfly| b ˈɪ7 z f l aɪ1  
bizhouse| b ˈɪ7 ʒ aʊ1 s  
bizuni| b ɪ1 z ˈuː7 n ii  
biêng|b ˈiɛ7 ŋ
biêt| b ˈiɛ7 t̪ 
biến| b ˈiɛɜ n 
biết| b ˈiɛɜ t̪ 
biển| b ˈiɛ4 n 
biểu| b ˈiɛ4 w 
biệt| b ˈiɛ6 t̪ 
bì| b ˈi2 
bình| b ˈi2 ɲ 
bí| b ˈiɜ 
bị| b ˌi6 
biệt|b ˈe1  ˈi1  ˈɛ6    s ˈɜː1 k ə1 m f l ˌɛ1 k s    t ˈe7 
biếc”| b ˈiɛɜ c 
biến| b ˈiɛɜ n 
biến”| b ˈiɛɜ n 
biết|b ˈiɛɜ t̪
biếtdo| b ˈiɛɜ t̪ z ɔ1 
biết”| b ˈiɛɜ t̪ 
biếּn|b ˈe1  ˈi1  ˈeɜ    h ˈiː1 b ɹ uː1  d ˈa1 ɡ ɛ1 ʃ   ˈɛ7 n əː2 
biển| b ˈiɛ4 n 
biển”| b ˈiɛ4 n 
biểu| b ˈiɛ4 w 
biệp| b ˈiɛ6 p 
biệt| b ˈiɛ6 t̪ 
biệt”| b ˈiɛ6 t̪ 
bjp|b ˌe1 ɡ ˌi1 p ˈe7 
bkav|b ˈe1  k ˈaː1  ˈaː1  v ˈe7 
bks|b ˌe1 k ˌaː1 ˈɛɜ s 
bl|b ˌe1 ˈɛ7 l əː2 
bla| b l ˈaː7 
black| b l ˈa7 k  
blacklist| b l ˈa7 k l ɪ1 s t  
blackpink| b l ˈa7 k p ɪ1 ŋ k  
blade| b l ˈeɪ7 d  
blakcpink| b l ˈa7 k k p ɪ1 ŋ k  
blake| b l ˈeɪ7 k  
blancos| b l ˈaa ŋ k əʊəʊ z  
blattman| b l ˈa7 t m ə1 n  
blaugrana|b ˈe1  ˈɛ1 l əː2  ˈaː1  ˈu1  ð ˈe7  ˈɛ1 ʐ əː2  ˈaː1  ˈɛ1 n əː2  ˈaː7 
blazer| b l ˈeɪ7 z əə  
blefuscu| b l ˈɛ7 f ə1 s k ˌuː1  
bleu| b l ˈuː7  
bleus| b l ˈuː7 z  
blg|b ˌe1 ˌɛ1 l əː2 ð ˈe7 
blinken| b l ˈɪ7 ŋ k ə1 n  
block| b l ˈɒ7 k  
blockchain|b ˈe1  ˈɛ1 l əː2  ˈɔ1  s ˈe1  k ˈaː1  s ˈe1  h ˈaɜ t  ˈaː1  ˈi1  ˈɛ7 n əː2 
blockchain”|b ˈe1  ˈɛ1 l əː2  ˈɔ1  s ˈe1  k ˈaː1  s ˈe1  h ˈaɜ t  ˈaː1  ˈi1  ˈɛ7 n əː2 
blog|b ˈe1  ˈɛ1 l əː2  ˈɔ1  ð ˈe7 
blogger|b ˈe1  ˈɛ1 l əː2  ˈɔ1  ð ˈe7  ð ˈe7  ˈɛ1  ˈɛ7 ʐ əː2 
blood| b l ˈʌ7 d  
bloom| b l ˈɔ7 m 
bloomberg| b l ˈuː7 m ɜː1 ɡ  
blouse| b l w w s ˈɛ7 
blue| b l w ˈɛ7 
bluechip| b l ˈuː7 tʃ ɪ1 p  
bluechips| b l ˈuː7 tʃ ɪ1 p s  
blues| b l ˈuː7 z  
bluetooth| b l ˈuː7 t uː1 θ  
bluewise| b l ˈuː7 w aɪ1 z  
blum|b l ˈu7 m
blumenthal| b l j ˈuː7 m ɛ1 n θ ələl  
blummoutet|b l ˈu1 m  (en) m aʊ1 t ˈɛ7 t (vi)
blv|b ˌe1 ˌɛ1 l əː2 v ˈe7 
blđ|b ˌe1 ˌɛ1 l əː2 d ˈəː7 
bmb|b ˌe1 ˌɛ1 m əː2 b ˈe7 
bmw|b ˌe1 ˌɛ1 m əː2 v ˈe7 k ˌɛɜ p 
bn|b ˌe1 ˈɛ7 n əː2 
bng|b ˌe1 ˌɛ1 n əː2 ð ˈe7 
bnpl|b ˌe1 ˌɛ1 n əː2 p ˌe1 ˈɛ7 l əː2 
boat| b ˈəʊəʊ t  
boaz| b ˈəʊəʊ z  
bob| b ˈɔ7 b 
bobble| b ˈɒ7 b ələl  
bobby| b ˈɔ7 b b i1 
boca| b ˈɔ7 k aː1 
bochum| b ˈɔ7 k h u1 m 
body| b ˈɔ7 z i1 
bodycon| b ˈɒ7 d ɪ1 k ə1 n  
bodykit| b ˈɒ7 d ɪ1 k ˌɪ1 t  
boe| b w ˈɛ7 
boehly| b ˈəʊəʊ l ii  
boehm| b w ˈɛ7 h m 
boeing| b ˈəʊəʊ ɪ1 ŋ  
boe…| b w ˈɛ7 
bohemian| b əʊəʊ h ˈiː7 m iə1 n  
boj| b ˈɔ7 ʒ 
bolat| b ˈɒ7 l a1 t  
bolden| b ˈɔ7 l z ɛ1 n 
bolero| b ɒ1 l ˈeə7 ɹ əʊəʊ  
boli| b ˈɔ7 l i1 
bolkiah|b ˈe1  ˈɔ1  ˈɛ1 l əː2  k ˈaː1  ˈi1  ˈaː1  h ˈaɜ t 
bologna|b ˈe1  ˈɔ1  ˈɛ1 l əː2  ˈɔ1  ð ˈe7  ˈɛ1 n əː2  ˈaː7 
bolsonaro| b ˌɒ1 l s ə1 n ˈa7 ɹ əʊəʊ  
boluarte| b ˈɔ7 l uə1 z t̪ ˌɛ1 
boléro| b ˈɔ7 l ɛɜ z ˌɔ1 
bom| b ˈɔ7 m 
boma| b ˈɔ7 m aː1 
bombay| b ˈɔ7 m b a1 j 
bomber| b ˈɒ7 m əə  
bombes|(en) b ˈɒ7 m z (vi)
bomman| b ˈɔ7 m m aː1 n 
bom”| b ˈɔ7 m 
bon| b ˈɔ7 n 
bona| b ˈɔ7 n aː1 
bongdaplus| b ˈɒ7 ŋ d a1 p l ə1 s  
bonheur|(en) b ə1 n h j ˈʊə7 (vi)
boniface|(en) b ˈɒ7 n ɪ1 f ˌeɪ1 s (vi)
bonjour|(en) b ɔː1 n ʒ ˈʊə7 (vi)
bonn| b ˈɔ7 n n 
bonnal|(en) b ˈɒ7 n ələl (vi)
bonnéte|b ˈɔ7 n n ɛɜ t̪ ˌɛ1
bonsai| b ˈɔ7 n s aː1 j 
bonsoir|(en) b ˈɒ7 n s w ɑːɑː (vi)
bonucci| b ə1 n ˈuː7 tʃ ii  
booby| b ˈɔ7 b i1 
booc|b ˈɔ7 c
book| b ˈʊ7 k  
booker|b ˈe1  ˈɔ1  ˈɔ1  k ˈaː1  ˈɛ1  ˈɛ7 ʐ əː2 
booking|b ˈe1  ˈɔ1  ˈɔ1  k ˈaː1  ˈi1  ˈɛ1 n əː2  ð ˈe7 
books|b ˈe1  ˈɔ1  ˈɔ1  k ˈaː1  ˈɛɜ s 
