&| v ˈɛ
'la|ɫ ˈa
'lara'|ɫ a ɾ ˈa
'larına|ɫ a ɾ ɯ n ˈa
'lavabonu|ɫ a v a b o n ˈʊ
'lcw|l ˌɛ dʒ ˌɛ d ˈa b ɯ ɫ j ʊ
'lgbt|l ˌɛ ɟ ˌɛ b ˌe t ˈɛ
'li|l ˈɪ
'lileri|l i l e ɾ ˈɪ
'liyakat'|l i j a k ˈa t
'lojistik|ɫ o ʒ ɪ s t ˈɪ k
'ludan|ɫ u d ˈa n
'lütfen|l ˈø t f æ n
'makbul|m a k b ˈʊ ɫ
'mala|m ˈa ɫ a
'malatya|m a ɫ ˈa t j a
'martina'|m a r t i n ˈa
'masaj|m a s ˈa ʒ
'maske'|m a s k ˈɛ
'masumlar|m ˈa s ʊ m ɫ a r
'matematik|m a t e m a t ˈɪ k
'mavi|m aː v ˈɪ
'mavi'yi|m a v i j ˈɪ
'maç|m ˈa tʃ
'maşallah'|m a ʃ a ɫ ɫ ˈa h
'meclis'te|m ɛ dʒ l ɪ s t ˈɛ
'medeni|m e d e n ˈɪ
'mega|m e ɟ ˈa
'mehdi'|m ɛ h d ˈɪ
'mehmet'|m ɛ h m ˈɛ t
'memnun|m æ m n ˈʊ n
'merak|m e ɾ ˈa k
'merhaba|m ˈɛ r h a b a
'merhaba'|m ˈɛ r h a b a
'merkez|m ɛ r k ˈɛ z
'mersin'in|m ɛ r s i n ˈɪ n
'metaverse'|m e t a v ˈɛ r s ɛ
'mete'ler|m e t e l ˈɛ r
'mevcut|m ɛ v dʒ ˈʊ t
'militan'|m i l i t ˈa n
'millet|m ɪ l l ˈɛ t
'milletimizin|m ɪ l l e t ˈi m i z ɪ n
'milletvekillerine|m ɪ l l ɛ t v e k ɪ l l e ɾ i n ˈɛ
'milli|m ɪ l l ˈɪ
'milyoner'|m ɪ l j o n ˈɛ r
'mitomani'|m i t o m a n ˈɪ
'mi̇t|m ˈɪ t
'modelimizi|m o d e l ˈi m i z ɪ
'motokuryelerin|m o t o k ʊ r j e l e ɾ ˈɪ n
'muallim|m u ˈa ɫ l ɪ m
'muhacirler'|m u h a dʒ ɪ r l ˈɛ r
'muhafazakar|m u h a f a z a k ˈa r
'muhalefet|m u h a l e f ˈɛ t
'muhalif'|m u h a l ˈɪ f
'muhaliflik’|m u h a l ɪ f l ˈɪ k
'muhammet'|m u h a m m ˈɛ t
'muharrem|m u h a r r ˈæ m
'mustafa|m ʊ s t a f ˈa
'mutlu|m ʊ t ɫ ˈʊ
'muzo'su|m u z o s ˈʊ
'mühim|m ˈy h ɪ m
'müjde'|m ø ʒ d ˈɛ
'mümkün|m ø m k ˈø n
'mütecaviz|m y t e dʒ ˈa v ɪ z
'müzakerelerde|m y z a k e ɾ e l ɛ r d ˈɛ
'müşteri|m ø ʃ t e ɾ ˈɪ
'mısır'ı|m ɯ s ɯ ɾ ˈɯ
'na|n ˈa
'nafaka'|n a f a k ˈa
'nakit|n a k ˈɪ t
'namusluysanız|n a m ʊ s ɫ ˈʊ j s a n ɯ z
'nasıl|n a s ˈɯ ɫ
'nasılsa|n a s ˈɯ ɫ s a
'nato|n a t ˈɔ
'nazi|n a z ˈɪ
'nda|n d ˈa
'ndaki|n d a k ˈɪ
'ndan|n d ˈa n
'nde|n d ˈɛ
'ndeki|n d e k ˈɪ
'ne|n ˈɛ
'neden|n e d ˈæ n
'nefes|n e f ˈɛ s
'nerede|n ˈe ɾ e d ɛ
'nereden|n ˈe ɾ e d æ n
'neye|n e j ˈɛ
'nin|n ˈɪ n
'niye|n i j ˈɛ
'ni̇n|n ˈɪ n
'npt|n ˌɛ p ˌɛ t ˈɛ
'nun|n ˈʊ n
'nü|n ˈø
'nün|n ˈø n
'nı|n ˈɯ
'nın|n ˈɯ n
'o|ˈɔ
'olamayız|o ɫ ˈa m a j ɯ z
'olgaç|ɔ ɫ ɡ ˈa tʃ
'olumsuzluk|o ɫ ˈʊ m s ʊ z ɫ ʊ k
'omicron'|o m ɪ dʒ r ˈɔ n
'ona|o n ˈa
'one|o n ˈɛ
'onları|ɔ n ɫ ˈa ɾ ɯ
'operasyonu|o p e ɾ a s j o n ˈʊ
'orada|ˈo ɾ a d a
'ortaçağ|ɔ r t a tʃ ˈaː
'oruçluyum'|o ɾ ʊ tʃ ɫ ˈu j ʊ m
'oturma|o t ˈʊ r m a
'outlier'|o ʊ t l i ˈɛ r
'oyunun|o j u n ˈʊ n
'oğlan|oː ɫ ˈa n
'oğlum|ˈoː l ʊ m
'paddy'|p ˈa dː j
'pahalılık'|p a h a ɫ ɯ ɫ ˈɯ k
'papağınımı|p a p aː ˈɯ n ɯ m ɯ
'parayla|p ˈa ɾ a j ɫ a
'parayı|p ˈa ɾ a j ɯ
'patates|p a t a t ˈɛ s
'patron|p a t r ˈɔ n
'paşam|p a ʃ ˈa m
'pençe|p ˈæ n tʃ ɛ
'petrol|p ɛ t r ˈɔ ɫ
'pezevenk'|p e z e v ˈæ n k
'peşimde'|p ˈe ʃ ɪ m d ɛ
'pi'|p ˈɪ
'pişt'|p ˈɪ ʃ t
'pkk|p ˌɛ k ˌɛ k ˈɛ
'pkk'ya|p ˌɛ k ˌɛ k ˈɛ j ˈa
'polis|p o l ˈɪ s
'polonya|p o ɫ ɔ n j ˈa
'pop|p ˈɔ p
'pop'un|p o p ˈʊ n
'profesyonelce|p r o f ɛ s j o n ˈæ l dʒ ɛ
'profilime|p r o f i l ˈi m ɛ
'provakatör'|p r o v a k a t ˈœ r
'provokatörlükten|p r o v o k a t œ r l ø k t ˈæ n
'putin'in|p u t i n ˈɪ n
'rabbim|r ˈa bː ɪ m
'raylı|r a j ɫ ˈɯ
'recep|r e dʒ ˈɛ p
'repost'|r e p ˈɔ s t
'retweet'leri|r ɛ t w e ɛ t l e ɾ ˈɪ
'rezerv|r e z ˈɛ r v
'riva|r i v ˈa
'rottweiler'|r ɔ tː w e i l ˈɛ r
'rtük'e|r t y k ˈɛ
'ruble'|r ˈʊ b l ɛ
'rule|r ˈu l ɛ
'rus'|r ˈʊ s
'rusya|r ʊ s j ˈa
'rusya'nın|r ʊ s j a n ˈɯ n
'rüzgar'|r ø z ɡ ˈa r
'saadet|s a a d ˈɛ t
'sabredin'|s ˈa b r e d ɪ n
'sadakatsiz'|s a d a k ˈa t s ɪ z
'sadece|s a d ˈe dʒ ɛ
'sahte'|s a h t ˈɛ
'sahtesi'|s a h t e s ˈɪ
'sakin|s a k ˈɪ n
'saldıracaksınız'|s a ɫ d ɯ ɾ a dʒ ˈa k s ɯ n ɯ z
'saldırdığına'|s a ɫ d ɯ r d ɯɯ ɯ n ˈa
'saldırı|s ˈa ɫ d ɯ ɾ ɯ
'salla'|s ˈa ɫ ɫ a
'salman|s a ɫ m ˈa n
'sanat|s a n ˈa t
'sandığa|s a n d ɯɯ ˈa
'sansürsüz'|s a n s ˈø r s ø z
'sapık'|s a p ˈɯ k
'saray'a|s a ɾ a j ˈa
'savaş|s a v ˈa ʃ
'savaş'|s a v ˈa ʃ
'save|s a v ˈɛ
'sayın|s a j ˈɯ n
'sağlamlaştırma|s aː ɫ a m ɫ ˈa ʃ t ɯ r m a
'scrabble'|s dʒ r ˈa bː l ɛ
'seferberlik|s e f ɛ r b ɛ r l ˈɪ k
'selahattin|s e ɫ a h a tː ˈɪ n
'sen|s ˈæ n
'seni|s e n ˈɪ
'senin|s e n ˈɪ n
'sensizlik'|s ˈæ n s ɪ z l ɪ k
'seri|s e ɾ ˈɪ
'sessiz|s ˈɛ s s ɪ z
'sessizce'|s ˈɛ s s ɪ z dʒ ɛ
'sevgi|s ɛ v ɡ ˈɪ
'sevgili|s ɛ v ɟ i l ˈɪ
'seydo|s ɛ j d ˈɔ
'seçim|s ˈe tʃ ɪ m
'seçim'|s ˈe tʃ ɪ m
'seçime|s e tʃ ˈi m ɛ
'sihirli|s i h ɪ r l ˈɪ
'silahla|s i ɫ ˈa h ɫ a
'silahlı|s i ɫ a h ɫ ˈɯ
'silivri'de|s i l ɪ v r i d ˈɛ
'sinekli|s i n ɛ k l ˈɪ
'sinin|s i n ˈɪ n
'sisi'|s i s ˈɪ
'siyasi|s i j a s ˈɪ
'siz|s ˈɪ z
'size|s i z ˈɛ
'sizi|s i z ˈɪ
'sizin|s i z ˈɪ n
'sizler|s ɪ z l ˈɛ r
'son|s ˈɔ n
'son'|s ˈɔ n
'sonbahar|s ɔ n b a h ˈa r
'soru|s o ɾ ˈʊ
'sorulamayacak|s o ɾ u ɫ ˈa m a j a dʒ a k
'sorunlarını|s o ɾ ʊ n ɫ a ɾ ɯ n ˈɯ
'sosyal|s ɔ s j ˈa ɫ
'sosyalist|s ɔ s j a l ˈɪ s t
'soyadı'|s o j a d ˈɯ
'soğuk|s oː ˈʊ k
'sporda|s p ɔ r d ˈa
'star|s t ˈa r
'stopaj|s t o p ˈa ʒ
'stratejik|s t r a t e ʒ ˈɪ k
'suikastçılar|s u i k a s t tʃ ɯ ɫ ˈa r
'super|s u p ˈɛ r
'suriyeliler|s u ɾ i j e l i l ˈɛ r
'suya|s u j ˈa
'suç|s ˈʊ tʃ
'suçluluk|s ʊ tʃ ɫ u ɫ ˈʊ k
'söylemem|s œ j l e m ˈæ m
'sözüm|s ˈœ z ø m
'süratle|s y ɾ ˈa t l ɛ
'sürpriz|s ˈø r p r ɪ z
'sürtük'|s ø r t ˈø k
'sı|s ˈɯ
'sıfır|s ɯ f ˈɯ r
'sık|s ˈɯ k
'sıkıntı|s ɯ k ɯ n t ˈɯ
'sığınak|s ɯɯ ɯ n ˈa k
'sığınmacılar'|s ɯɯ ɯ n m a dʒ ɯ ɫ ˈa r
'ta|t ˈa
'tahıl|t a h ˈɯ ɫ
'taksim'de|t a k s ɪ m d ˈɛ
'taksirle|t a k s ˈɪ r l ɛ
'talep|t a l ˈɛ p
'tamam'|t a m ˈa m
'tan|t ˈa n
'tanal|t a n ˈa ɫ
'tanrı|t a n r ˈɯ
'tapu|t a p ˈʊ
'tarafsızlık'|t a ɾ ˈa f s ɯ z ɫ ɯ k
'tarafsızlığını|t a ɾ a f s ɯ z ɫ ɯɯ ɯ n ˈɯ
'tarikatlar|t a ɾ i k a t ɫ ˈa r
'tarladan|t ˈa r ɫ a d a n
'tatlı|t a t ɫ ˈɯ
'te|t ˈɛ
'tebliğciler'i|t ɛ b l ɪ j dʒ i l e ɾ ˈɪ
'tedbirli'|t ɛ d b ɪ r l ˈɪ
'tehlikeli'|t ɛ h l i k e l ˈɪ
'tek|t ˈɛ k
'teknofest|t ɛ k n o f ˈɛ s t
'temiz|t ˈe m ɪ z
'temizleyin|t e m ɪ z l e j ˈɪ n
'ten|t ˈæ n
'terk|t ˈɛ r k
'ters|t ˈɛ r s
'terör|t e ɾ ˈœ r
'teröre|t e ɾ œ ɾ ˈɛ
'terörist'|t e ɾ œ ɾ ˈɪ s t
'teröristlerin|t e ɾ œ ɾ ɪ s t l e ɾ ˈɪ n
'teyze|t ɛ j z ˈɛ
'thor|t h ˈɔ r
'ticaret|t i dʒ a ɾ ˈɛ t
'tiktok'ta|t ɪ k t ɔ k t ˈa
'tip'ler|t ɪ p l ˈɛ r
'togg'un|t o ɡː ˈʊ n
'toprağımızın|t ɔ p r aː ˈɯ m ɯ z ɯ n
'torba'|t ɔ r b ˈa
'torbacı'|t ɔ r b a dʒ ˈɯ
'trafikte|t r a f ɪ k t ˈɛ
'trump'ä±n|t r ʊ m p ˈɛ    p l ˈʌ s ɔː m ˈaɪ n ə s  n ˈɛ
'tuna|t u n ˈa
'turuncu|t u ɾ ʊ n dʒ ˈʊ
'tut'|t ˈʊ t
'tuğba|t uː b ˈa
'twitter|t w i tː ˈɛ r
'tören|t œ ɾ ˈæ n
'türk|t ˈø r k
'türkiye|t ˈø r k i j ɛ
'türkiye'|t ˈø r k i j ɛ
'türkiye'de|t ø r k i j e d ˈɛ
'türkiye'nin|t ø r k i j e n ˈɪ n
'türkiye'ye|t ø r k i j e j ˈɛ
'türkiye'yi|t ø r k i j e j ˈɪ
'türkiye’nin|t ø r k i j e n ˈɪ n
'türkler|t ø r k l ˈɛ r
'türklerin|t ø r k l e ɾ ˈɪ n
'türklüğe|t ø r k l yː ˈɛ
'türkçe|t ˈø r k tʃ ɛ
'tıbbi|t ɯ bː ˈɪ
'u|ˈu
'ucube|u dʒ u b ˈɛ
'ukrayna|ʊ k r ˈa j n a
'ukrayna'nın|ʊ k r a j n a n ˈɯ n
'ulusal|u ɫ u s ˈa ɫ
'uluslararası|u ɫ ʊ s ɫ a ɾ a ɾ a s ˈɯ
'umudun|u m u d ˈʊ n
'un|ˈʊ n
'urfalıyam|ʊ r f a ɫ ɯ j ˈa m
'use|ˈu s e
'uyanacak|u j a n a dʒ ˈa k
'uyuşturucu|u j ʊ ʃ t u ɾ u dʒ ˈʊ
'uyuşturucunun|u j ʊ ʃ t u ɾ u dʒ u n ˈʊ n
'uzatma'|u z ˈa t m a
'uğur'la|ˈʊː r ɫ a
'vahdettin|v a h d e tː ˈɪ n
'vatana|v a t a n ˈa
'vatansefer|v a t a n s e f ˈɛ r
'vefa|v e f ˈa
'veli|v e l ˈɪ
'vergi|v ɛ r ɡ ˈɪ
'verimlilik|v e ɾ ɪ m l i l ˈɪ k
'verin|v e ɾ ˈɪ n
'vermeyin'|v ɛ r m e j ˈɪ n
'video|v i d e ˈɔ
'videodaki|v i d e o d a k ˈɪ
'vorteks'|v ɔ r t ˈɛ k s
'ya|j ˈa
'yabancı|j a b a n dʒ ˈɯ
'yakalama|j a k ˈa ɫ a m a
'yalan|j a ɫ ˈa n
'yalan'|j a ɫ ˈa n
'yalancı'|j a ɫ a n dʒ ˈɯ
'yalnızlık|j ˈa ɫ n ɯ z ɫ ɯ k
'yalova’ya|j a ɫ o v a j ˈa
'yamaç'|j a m ˈa tʃ
'yan|j ˈa n
'yangın|j a n ɡ ˈɯ n
'yanlıştı|j a n ɫ ɯ ʃ t ˈɯ
'yanındayım'|j a n ɯ n d a j ˈɯ m
'yapabilirsin|j a p a b i l ɪ r s ˈɪ n
'yapacağımız|j a p a dʒ ˈaː ɯ m ɯ z
'yapamazlar'|j a p a m a z ɫ ˈa r
'yaptıklarınızdan|j a p t ɯ k ɫ ˈa ɾ ɯ n ɯ z d a n
'yapılan|j a p ɯ ɫ ˈa n
'yargı'da|j a r ɡ ɯ d ˈa
'yargıya|j a r ɡ ɯ j ˈa
'yarın|j a ɾ ˈɯ n
'yarının|j a ɾ ɯ n ˈɯ n
'yasal|j a s ˈa ɫ
'yatırım|j a t ˈɯ ɾ ɯ m
'yatırım'|j a t ˈɯ ɾ ɯ m
'yayıncılık|j a j ɯ n dʒ ɯ ɫ ˈɯ k
'yaz|j ˈa z
'yaşasın'|j a ʃ a s ˈɯ n
'ye|j ˈɛ
'yeni|j e n ˈɪ
'yeniden|j e n i d ˈæ n
'yenilikçi|j e n i l ɪ k tʃ ˈɪ
'yerinde'|j e ɾ ɪ n d ˈɛ
'yeter|j e t ˈɛ r
'yeter'|j e t ˈɛ r
'yi|j ˈɪ
'yok|j ˈɔ k
'yolsuzluk'|j ˈɔ ɫ s ʊ z ɫ ʊ k
'yoluma|j o ɫ ˈu m a
'ysk|j s k
'yuh'landı|j ʊ h ɫ a n d ˈɯ
'yumuşama'ya|j u m u ʃ a m a j ˈa
'yurtdışına|j ʊ r t d ɯ ʃ ɯ n ˈa
'yusuf|j u s ˈʊ f
'yuvama|j u v ˈa m a
'yönetiyor'|j œ n e t ˈi j ɔ r
'yü|j ˈø
'yüreğimi|j y ɾ ˈe j i m ɪ
'yüz|j ˈø z
'yı|j ˈɯ
'yıldırım|j ˈɯ ɫ d ɯ ɾ ɯ m
'yılın|j ɯ ɫ ˈɯ n
'zengin|z æ n ɡ ˈɪ n
'zorunlu|z o ɾ ʊ n ɫ ˈʊ
'zıpla|z ˈɯ p ɫ a
'çalışanlar|tʃ a ɫ ɯ ʃ a n ɫ ˈa r
'çamur|tʃ a m ˈʊ r
'çantayı|tʃ a n t a j ˈɯ
'çarkıfelek'|tʃ a r k ɯ f e l ˈɛ k
'çat|tʃ ˈa t
'çin'in|tʃ i n ˈɪ n
'çipetpet'|tʃ i p ɛ t p ˈɛ t
'çirkin'|tʃ ɪ r k ˈɪ n
'çiçek'|tʃ i tʃ ˈɛ k
'çocuk|tʃ o dʒ ˈʊ k
'çocuklar|tʃ o dʒ ʊ k ɫ ˈa r
'çocuklara|tʃ o dʒ ʊ k ɫ a ɾ ˈa
'çok|tʃ ˈɔ k
'çorapla|tʃ o ɾ ˈa p ɫ a
'çukur'|tʃ u k ˈʊ r
'çuvallı'|tʃ u v a ɫ ɫ ˈɯ
'çök|tʃ ˈœ k
'ödemeyin'|œ d e m e j ˈɪ n
'ödenecek|œ d e n e dʒ ˈɛ k
'öldüreceğim|œ l d y ɾ e dʒ ˈe j ɪ m
'öldürmek|œ l d ø r m ˈɛ k
'öldürüldüğü'|œ l d y ɾ ø l d ˈøː
'ölüm|ˈœ l ø m
'ölümcül|œ l ø m dʒ ˈø l
'ölümüne|œ l y m y n ˈɛ
'önce|ˈœ n dʒ ɛ
'örgütün|œ r ɟ y t ˈø n
'öyle|ˈœ j l e
'özdağ|œ z d ˈaː
'özel|œ z ˈæ l
'özgürlük'|œ z ɟ ø r l ˈø k
'ü|ˈy
'ülkelerin|ø l k e l e ɾ ˈɪ n
'ümit|y m ˈɪ t
'ün|ˈø n
'üretim|y ɾ ˈe t ɪ m
'üyesi|y j e s ˈɪ
'üzülme|y z ˈø l m ɛ
'üçünüz|ˈy tʃ y n ø z
'ı|ˈɯ
'ın|ˈɯ n
'şahin'|ʃ a h ˈɪ n
'şakkadanak'|ʃ a kː a d a n ˈa k
'şantaj'|ʃ a n t ˈa ʒ
'şarbon'|ʃ a r b ˈɔ n
'şarj|ʃ ˈa r ʒ
'şeytan|ʃ ɛ j t ˈa n
'şiddet'|ʃ i dː ˈɛ t
'şimdi|ʃ ɪ m d ˈɪ
'şoförle|ʃ o f ˈœ r l ɛ
'şu|ʃ ˈʊ
+|a r t ˈɯ
a|ˈa
a'dan|a d ˈa n
a'nın|a n ˈɯ n
a'yı|a j ˈɯ
a+|ˈa a r t ˈɯ
aa|a ˈa
aa'nın|a a n ˈɯ n
aa'ya|a a j ˈa
aaah|a a ˈa h
aabid|a a b ˈɪ d
aacayipsin|a a dʒ a j ɪ p s ˈɪ n
aacının|a a dʒ ɯ n ˈɯ n
aah|a ˈa h
aah…|a ˈa h
aanholt'la|a a n h ˈɔ ɫ t ɫ a
aaz|a ˈa z
aaç|a ˈa tʃ
aaşık|a a ʃ ˈɯ k
aa’nın|a a n ˈɯ n
ab|ˌa b ˈɛ
ab'de|a b d ˈɛ
ab'den|a b d ˈæ n
ab'dir|ˈa b d ɪ r
ab'nin|a b n ˈɪ n
ab'ye|a b j ˈɛ
ab'yi|a b j ˈɪ
aba|a b ˈa
abacı'nın|a b a dʒ ɯ n ˈɯ n
abahça|a b a h tʃ ˈa
abak|a b ˈa k
abaka|a b a k ˈa
abak’ın|a b a k ˈɯ n
abant|a b ˈa n t
abant'ı|a b a n t ˈɯ
abant’ta|a b a n t t ˈa
abanın|a b a n ˈɯ n
abart|a b ˈa r t
abartmamak|a b a r t m a m ˈa k
abartmamaya|a b a r t m ˈa m a j a
abartmaya|a b ˈa r t m a j a
abartmayın|a b a r t m a j ˈɯ n
abartmış|a b a r t m ˈɯ ʃ
abartı|a b a r t ˈɯ
abartılacak|a b a r t ɯ ɫ a dʒ ˈa k
abartıldığını|a b a r t ɯ ɫ d ɯɯ ɯ n ˈɯ
abartılmasıdır|a b a r t ɯ ɫ m a s ˈɯ d ɯ r
abartılı|a b a r t ɯ ɫ ˈɯ
abartısız|a b a r t ˈɯ s ɯ z
abat|a b ˈa t
abat’ı|a b a t ˈɯ
abay|a b ˈa j
abazalar|a b a z a ɫ ˈa r
abazanların|a b a z a n ɫ a ɾ ˈɯ n
abazi|a b a z ˈɪ
abazyanın|a b a z j a n ˈɯ n
abb|ˈa bː
abb'den|a bː d ˈæ n
abb'nin|a bː n ˈɪ n
abbas|a bː ˈa s
abbas'ı|a bː a s ˈɯ
abbas'ın|a bː a s ˈɯ n
abbasoğlu|a bː a s oː ɫ ˈʊ
abbas’ın|a bː a s ˈɯ n
abbood'un|a bː o o d ˈʊ n
abbood’un|a bː o o d ˈʊ n
abc|ˈa b dʒ
abcdefu|a b dʒ d e f ˈʊ
abd|ˌa b ˌe d ˈɛ
abd''deki|ˌa b ˌe d ˈɛ   d e k ˈɪ
abd'de|a b d d ˈɛ
abd'deki|a b d d e k ˈɪ
abd'den|a b d d ˈæ n
abd'dir|ˈa b d d ɪ r
abd'li|a b d l ˈɪ
abd'liler|a b d l i l ˈɛ r
abd'nin|a b d n ˈɪ n
abd'sine|a b d s i n ˈɛ
abd'ye|a b d j ˈɛ
abd'yi|a b d j ˈɪ
abdal|a b d ˈa ɫ
abdalın|a b d a ɫ ˈɯ n
abdelhamid|a b d æ l h a m ˈɪ d
abdest|a b d ˈɛ s t
abdesti|a b d ɛ s t ˈɪ
abdestinden|a b d ɛ s t ɪ n d ˈæ n
abdestini|a b d ɛ s t i n ˈɪ
abdestli|a b d ɛ s t l ˈɪ
abdi|a b d ˈɪ
abdoulaye|a b d o ˈu ɫ a j ɛ
abdulayev|a b d u ɫ a j ˈɛ v
abdulcabbar|a b d ʊ ɫ dʒ a bː ˈa r
abdulfettah|a b d ʊ ɫ f e tː ˈa h
abdulhamid|a b d ʊ ɫ h a m ˈɪ d
abdulhamid'i|a b d ʊ ɫ h a m i d ˈɪ
abdulhamit|a b d ʊ ɫ h a m ˈɪ t
abdulkadir|a b d ʊ ɫ k ˈa d ɪ r
abdulkerim|a b d ʊ ɫ k ˈe ɾ ɪ m
abdullah|a b d ʊ ɫ ɫ ˈa h
abdullah'ın|a b d ʊ ɫ ɫ a h ˈɯ n
abdullahiyan|a b d ʊ ɫ ɫ a h i j ˈa n
abdullahiyan'ın|a b d ʊ ɫ ɫ a h i j a n ˈɯ n
abdullah’a|a b d ʊ ɫ ɫ a h ˈa
abdulmecid|a b d ʊ ɫ m e dʒ ˈɪ d
abdulmuin|a b d ʊ ɫ m u ˈɪ n
abdulvehhab|a b d ʊ ɫ v ɛ h h ˈa b
abdurrahim|a b d ʊ r r ˈa h ɪ m
abdurrahman|a b d ʊ r r a h m ˈa n
abdurreşid|a b d ʊ r r e ʃ ˈɪ d
abdül|a b d ˈø l
abdülaziz|a b d y ɫ ˈa z ɪ z
abdülaziz'in|a b d y ɫ a z i z ˈɪ n
abdülhalik|a b d ø l h a l ˈɪ k
abdülhamid|a b d ø l h a m ˈɪ d
abdülhamid'in|a b d ø l h a m i d ˈɪ n
abdülhamid’in|a b d ø l h a m i d ˈɪ n
abdülhamit|a b d ø l h a m ˈɪ t
abdülhamit'e|a b d ø l h a m i t ˈɛ
abdülhey'i|a b d ø l h e j ˈɪ
abdülkadir|a b d ø l k ˈa d ɪ r
abdülkadir'in|a b d ø l k a d i ɾ ˈɪ n
abdülkerim|a b d ø l k ˈe ɾ ɪ m
abdülkerim’den|a b d ø l k e ɾ ɪ m d ˈæ n
abdüllatif|a b d ø l ɫ a t ˈɪ f
abdülmecit|a b d ø l m e dʒ ˈɪ t
abdüş|a b d ˈø ʃ
abd’de|a b d d ˈɛ
abd’deki|a b d d e k ˈɪ
abd’den|a b d d ˈæ n
abd’li|a b d l ˈɪ
abd’nin|a b d n ˈɪ n
abd’nın|a b d n ˈɯ n
abd’ye|a b d j ˈɛ
abd’yi|a b d j ˈɪ
abd’yle|ˈa b d j l ɛ
abe|a b ˈɛ
abe'nin|a b e n ˈɪ n
abe'ye|a b e j ˈɛ
abeslamozıd|a b ɛ s ɫ a m o z ˈɯ d
abeste|a b ɛ s t ˈɛ
abgar|a b ɡ ˈa r
abi|a b ˈɪ
abi'|a b ˈɪ
abi'si|a b i s ˈɪ
abidal|a b i d ˈa ɫ
abideleri|a b i d e l e ɾ ˈɪ
abidin|a b i d ˈɪ n
abidir|a b ˈi d ɪ r
abigail|a b i ɡ a ˈɪ l
abiler|a b i l ˈɛ r
abilerinin|a b i l e ɾ i n ˈɪ n
abim|ˈa b ɪ m
abime|a b ˈi m ɛ
abimize|a b ˈi m i z ɛ
abimizi|a b ˈi m i z ɪ
abimizin|a b ˈi m i z ɪ n
abinin|a b i n ˈɪ n
abisi|a b i s ˈɪ
abisini|a b i s i n ˈɪ
abiye|a b i j ˈɛ
abiş|a b ˈɪ ʃ
abi̇gem|a b i ɟ ˈæ m
abi̇m|a b ˈɪ m
abjeron|a b ʒ e ɾ ˈɔ n
abla|ˈa b ɫ a
abla'|ˈa b ɫ a
abla'nın|a b ɫ a n ˈɯ n
ablacığım|a b ɫ a dʒ ˈɯɯ ɯ m
ablak|a b ɫ ˈa k
ablalar|ˈa b ɫ a ɫ a r
ablaları|a b ɫ a ɫ a ɾ ˈɯ
ablalarına|a b ɫ a ɫ a ɾ ɯ n ˈa
ablam|a b ɫ ˈa m
ablama|ˈa b ɫ a m a
ablamın|a b ɫ a m ˈɯ n
ablamız|a b ɫ ˈa m ɯ z
ablan|a b ɫ ˈa n
ablası|a b ɫ a s ˈɯ
ablasına|a b ɫ a s ɯ n ˈa
ablasını|a b ɫ a s ɯ n ˈɯ
ablasının|a b ɫ a s ɯ n ˈɯ n
abluka|a b ɫ u k ˈa
ablukaya|a b ɫ u k a j ˈa
abone|a b o n ˈɛ
aboneleri|a b o n e l e ɾ ˈɪ
abonelerine|a b o n e l e ɾ i n ˈɛ
abonelik|a b o n e l ˈɪ k
aboneliklere|a b o n e l ɪ k l e ɾ ˈɛ
aboneliklerine|a b o n e l ɪ k l e ɾ i n ˈɛ
aboneliklerinin|a b o n e l ɪ k l e ɾ i n ˈɪ n
aboneliğe|a b o n e l i j ˈɛ
aboneliği|a b o n e l i j ˈɪ
abonesi|a b o n e s ˈɪ
aborjinlerin|a b ɔ r ʒ ɪ n l e ɾ ˈɪ n
about|a b o ˈʊ t
abr|ˈa b r
abraham|a b r a h ˈa m
abramovich|a b r a m o v ˈɪ dʒ h
abramovich'in|a b r a m o v ɪ dʒ h ˈɪ n
abramovich’in|a b r a m o v ɪ dʒ h ˈɪ n
abramoviç'in|a b r a m o v i tʃ ˈɪ n
abrams|a b r ˈa m s
absürd|a b s ˈø r d
absürt|a b s ˈø r t
abu|a b ˈʊ
abubakar|a b u b a k ˈa r
abud|a b ˈʊ d
abuja|a b u ʒ ˈa
abuk|a b ˈʊ k
abur|a b ˈʊ r
abuzer|a b u z ˈɛ r
ab’de|a b d ˈɛ
ab’nin|a b n ˈɪ n
ab’ye|a b j ˈɛ
ab’yi|a b j ˈɪ
acaba|a dʒ a b ˈa
acabağ|a dʒ a b ˈaː
acai|a dʒ a ˈɪ
acamı|a dʒ a m ˈɯ
acar|a dʒ ˈa r
acar'ın|a dʒ a ɾ ˈɯ n
acarer|a dʒ a ɾ ˈɛ r
acar’ın|a dʒ a ɾ ˈɯ n
acayip|a dʒ a j ˈɪ p
acayipti|a dʒ a j ɪ p t ˈɪ
acb|ˈa dʒ b
accan|a dʒː ˈa n
accenture’ın|a dʒː æ n t u ɾ e ˈɯ n
accra|a dʒː r ˈa
accra’daki|a dʒː r a d a k ˈɪ
acele|ˈa dʒ ɛ l ɛ
acelen|a dʒ e l ˈæ n
aceleye|a dʒ ˈe l e j ɛ
aceleyle|a dʒ ˈe l ɛ j l ɛ
acemi|a dʒ e m ˈɪ
acemiler|a dʒ e m i l ˈɛ r
acemiliğine|a dʒ e m i l i j i n ˈɛ
acemiydim|a dʒ e m ɪ j d ˈɪ m
acentadan|a dʒ æ n t a d ˈa n
