&| ˈɔ k
akademiska|ˈɑː k a d ə m ˌɪ s k a
akademiskt|ˈɑː k a d ə m ˌɪ s k t
akademiyrke|ˈɑː k a d ə m ˌiː  y r k ə
akar|ˈɑː k a r
akcakmak|ˈa k k a k m ˌa k
akelius|ˈɑː k ə l ˌiː  ʉ s
aker|ˈɑː k ə r
akhlestin|ˌa k h l ə s t ˈiː n
akhti|ˈa k h t iː
akhtisaris|ˈa k h t ɪ s ˌa r iː s
akhundzada|ˈa k h ɵ n d s ˌa d a
akil|ˈɑː k iː l
akilles|ˈɑː k ɪ l ə s
akka|ˈa k k a
akleh|ˈa k l ə h
akmens|ˈa k m ə n s
akolors|ˈɑː k uː l ˌɔ ʂ
akp|ˈa k p
akrilplygers|ˈa k r ɪ l p l ˌyː ɡ ə ʂ
akronymen|ˈa k r uː n ˌyː m ə n
akropolis|ˈa k r uː p ɔ l ˌiː s
akrylfiber|ˈa k r y l f ˌiː b ə r
akshata|ˈa k s h a t ˌa
akt|ˈa k t
akta|ˈa k t a
aktad|ˈa k t a d
aktarr|ˈa k t a r
akten|ˈa k t ə n
aktern|ˈa k t ə r n
akti|ˈa k t iː
aktie|ˈa k t iː  ə
aktieaffärer|ˌa k t iː  ə a f ˈɛː r ə r
aktieanalys|ˈa k t iː  ə ˌa n a l ˌyː s
aktieanalytikern|ˈa k t iː  ə ˌa n a l ˌyː t iː k ˌɛ r n
aktiebolaget|ˈa k t iː  ə b ˌuː l ɑː ɡ ə t
aktiechef|ˈa k t iː  ˌɛ sx ɛː f
aktieexponeringen|ˈa k t iː  ə ˌɛ k s p uː n ˌeː r ɪ ŋ ə n
aktiefallet|ˈa k t iː  ə f ˌa l ə t
aktiefonden|ˌa k t iː  ə f ˈoː n d ə n
aktiefonder|ˌa k t iː  ə f ˈoː n d ə r
aktieforum|ˈa k t iː  ə f ˌuː r ɵː m
aktiehandel|ˈa k t iː  ə h ˌa n d ə l
aktiehandeln|ˈa k t iː  ə h ˌa n d eː l n
aktieindex|ˈa k t iː  ə ˌɪ n d ə k s
aktieinnehav|ˈa k t iː  ə ˌɪ n ə h ˌa v
aktieinnehavet|ˈa k t iː  ə ˌɪ n ə h ˌa v ə t
aktieklubben|ˈa k t iː  ˌɛ k l ɵ b ə n
aktiekurs|ˈa k t iː  ə k ˌɵ ʂ
aktiekursen|ˈa k t iː  ə k ˌɵ ʂ ə n
aktiekurserna|ˈa k t iː  ə k ˌɵ ʂ ə r n ˌa
aktieköp|ˈa k t iː  ə ɕ ˌøː p
aktieköparna|ˈa k t iː  ə ɕ ˌøː p a r n ˌa
aktiellt|ˈa k t iː  ˌɛ l t
aktiemajoriteten|ˈa k t iː  ə m ˌa j uː r ˌiː t eː t ə n
aktiemarknad|ˈa k t iː  ə m ˌa r k n a d
aktiemarknaden|ˈa k t iː  ə m ˌa r k n a d ə n
aktiemarknader|ˈa k t iː  ə m ˌa r k n a d ə r
aktien|ˈa k t iː  ə n
aktieplaceringar|ˈa k t iː  ˌɛ p l a s ˌeː r ɪ ŋ ˌa r
aktier|ˈa k t iː  ə r
aktierna|ˈa k t iː  ˌɛ r n a
aktier”|ˈa k t iː  ə r
aktiesidan|ˈa k t iː  ə s ˌiː d a n
aktiespararna|ˈa k t iː  ˌɛ s p ɑː r ˌa r n a
aktiestrateg|ˈa k t iː  ˌɛ s t r a t ə ɡ
aktieteckning|ˈa k t iː  ə t ˌɛ k n ɪ ŋ
aktietjänst|ˈa k t iː  ˌɛ ɕ ə n s t
aktievärde|ˈa k t iː  ə v ˌɛː r d ə
aktieägaravtal|ˌa k t iː  ə ˌɛː ɡ a r a v t ˈɑː l
aktieägare|ˈa k t iː  ə ˌɛː ɡ a r ə
aktieägarna|ˈa k t iː  ə ˌɛː ɡ a r n ˌa
aktieägarvärden|ˈa k t iː  ə ˌɛː ɡ a r v ˌɛː r d ə n
aktieåterköp|ˈa k t iː  ə ˌoː t ə r ɕ ˌøː p
aktinvest|ˈa k t ɪ n v ˌɛ s t
aktion|a k sx ˈuː n
aktionen|a k sx ˈuː n ə n
aktioner|a k sx ˈuː n ə r
aktionsgruppen|a k sx ˈʊ n s ɡ r ɵ p ə n
aktiv|ˈa k t iː v
aktiva|ˈa k t iː v ˌa
aktivas|ˈa k t iː v ˌa s
aktivators|ˈa k t iː v ˌa t ɔ ʂ
aktivera|ˈa k t iː v ə r ˌa
aktiverade|ˈa k t iː v ə r ˌa d ə
aktiverades|ˈa k t iː v ə r ˌa d ə s
aktiverar|ˈa k t iː v ə r ˌa r
aktiveras|ˈa k t iː v ə r ˌa s
aktiverat|ˈa k t iː v ə r ˌa t
aktivering|ˈa k t iː v ˌeː r ɪ ŋ
aktivismen|ˈa k t iː v ˌɪ s m ə n
aktivisten|ˈa k t iː v ˌɪ s t ə n
aktivister|ˈa k t iː v ˌɪ s t ə r
aktivisterna|ˈa k t iː v ˌɪ s t ə r n ˌa
aktivistfonden|ˌa k t iː v ɪ s t f ˈoː n d ə n
aktivit|ˈa k t iː v ˌiː t
aktivitet|ˈa k t iː v ˌiː t eː t
aktiviteten|ˈa k t iː v ˌiː t eː t ə n
aktiviteter|ˈa k t iː v ˌiː t eː t ə r
aktiviteterna|ˈa k t iː v ˌiː t eː t ˌɛ r n a
aktiviteter”|ˈa k t iː v ˌiː t eː t ə r
aktivitetsbaserade|ˈa k t iː v ˌiː t eː t s b ˌa s eː r ˌa d ə
aktivitetsersättning|ˈa k t iː v ˌiː t eː t s ˌeː ʂ ə t n ˌɪ ŋ
aktivitetshall|ˈa k t iː v ˌiː t eː t s h ˌa l
aktivitetshus|ˈa k t iː v ˌiː t eː t s h ˌʉ s
aktivitetsnivå|ˈa k t iː v ˌiː t eː t s n ˌiː v oː
aktivitetspark|ˈa k t iː v ˌiː t eː t s p ˌa r k
aktivitetsplan|ˈa k t iː v ˌiː t eː t s p l ˌa n
aktivitetsutbudet|ˈa k t iː v ˌiː t eː t s ˌʉ t b ʉ d ə t
aktivt|ˈa k t ɪ v t
aktriser|ˈa k t r iː s ə r
aktualiserade|ˈa k t ʉ ˌa l iː s ˌeː r a d ə
aktualiserades|ˈa k t ʉ ˌa l iː s ˌeː r a d ə s
aktualiserats|ˈa k t ʉ ˌa l iː s ˌeː r a t s
aktuell|ˈa k t ʉ ˌɛ l
aktuella|ˈa k t ʉ ˌɛ l a
aktuellainnehåller|ˈa k t ʉ ˌɛ l a ˌɪ n ə h ˌɔ l ə r
aktuellt|ˈa k t ʉ ˌɛ l t
aktuellts|ˈa k t ʉ ˌɛ l t s
aktunspel|ˈa k t ɵ n s p ˌeː l
aktören|ˈa k t øː r ə n
aktörer|ˈa k t øː r ə r
aktörerna|ˈa k t øː r ˌɛ r n a
aktörernas|ˈa k t øː r ˌɛ r n a s
aktörers|ˈa k t øː r ˌɛ ʂ
akustiken|ˈɑː k ɵ s t ˌiː k ə n
akustikfirma|ˈɑː k ɵ s t ˌɪ k f ɪ r m ˌa
akustikväggen|ˈɑː k ɵ s t ˌɪ k v ə ɡ j ə n
akut|ˈɑː k ʉ t
akuta|ˈɑː k ʉ t ˌa
akutboenden|ˈɑː k ʉ t b ˌuː ə n d ə n
akutgeriatriska|ˈɑː k ʉ t j ə r ˌiː  a t r ˌɪ s k a
akutkliniken|ˈɑː k ɵ t k l ˌiː n iː k ə n
akutlösningar|ˌɑː k ʉ t l ˈøː s n ɪ ŋ ˌa r
akutmottagningarna|ˌɑː k ɵ t m ˈuː tː ɑː ŋ n ˌɪ ŋ a r n ˌa
akutmottagningen|ˌɑː k ɵ t m ˈuː tː ɑː ŋ n ˌɪ ŋ ə n
akutplan|ˈɑː k ɵ t p l ˌa n
akutsjukhusen|ˈɑː k ʉ t sx ˌʉ k h ʉ s ə n
akutsjukvård|ˌɑː k ʉ t sx ʉ k v ˈoː r d
akutskola|ˈɑː k ʉ t s k ˌuː l a
akutvård|ˌɑː k ʉ t v ˈoː r d
akutvårdsavdelningen|ˌɑː k ʉ t v ˈoː r d s ɑː v d ˌeː l n ɪ ŋ ə n
akutåtgärder|ˈɑː k ʉ t ˌoː t j ɛː r d ə r
akvareller|ˈa k v a r ˌɛ l ə r
akvarellmuseet|ˈa k v a r ˌɛ l m ʉ s ə ə t
akvarellmålningar|ˈa k v a r ˌɛ l m oː l n ˌɪ ŋ a r
akvarier|ˈa k v a r ˌiː  ə r
akvariet|ˈa k v a r ˌiː  ə t
akvariets|ˈa k v a r ˌiː  ə t s
akvarium|ˈa k v a r ˌiː  ʉ m
akvatiska|ˈa k v a t ˌɪ s k a
akvedukten|ˈa k v ə d ˌɵ k t ə n
al|ˈɑː l
alaba|ˈɑː l a b ˌa
alabama|ˈɑː l a b ˌa m a
alabamas|ˈɑː l a b ˌa m a s
alafors|ˈɑː l a f ˌɔ ʂ
alain|ˌɑː l a ˈiː n
alameda|ˈɑː l a m ə d ˌa
alamin|ˌɑː l a m ˈiː n
alamos|ˈɑː l a m ˌuː s
alan|ˈɑː l a n
alandh|ˈɑː l a n d h
alandica|ˈɑː l a n d ˌiː k a
alanen|ˈɑː l a n ə n
alanko|ˈɑː l a ŋ k ˌuː
alanne|ˈɑː l a n ə
alanya|ˈɑː l a n ˌyː a
alanärä|ˈɑː l a n ˌɛː r ɛː
alarcon|ˈɑː l a r k ˌuː n
alarm|ˈɑː l a r m
alarmsystem|ˈɑː l a r m s y s t ˌeː m
alaska|ˈɑː l a s k ˌa
alavés|ˌɑː l a v ˈeː s
albaner|ˈa l b a n ə r
albanerna|ˈa l b a n ˌɛ r n a
albanese|ˈa l b a n ə s ə
albanien|ˈa l b a n ˌiː  ə n
albaniens|ˈa l b a n ˌiː  ə n s
albano|ˈa l b a n ˌuː
albanska|ˈa l b a n s k ˌa
albarn|ˈa l b ɑː r n
albatross|ˈa l b a t r ˌɔ s
albert|ˈa l b ə t
alberta|ˈa l b ə t ˌa
alberto|ˈa l b ə t ˌuː
albertsson|ˈa l b ə t s ˌɔ n
albery|ˈa l b ə r ˌyː
albin|a l b ˈiː n
albinsson|ˈa l b ɪ n s ˌɔ n
albipes|ˈa l b iː p ə s
albona|ˈa l b uː n ˌa
albornoz|ˈa l b uː r n ˌuː s
albrecht|ˈa l b r ə ʃ t
albrechtsen|ˈa l b r ə ʃ t s ə n
album|ˈa l b ʉ m
albumartist|ˈa l b ʉ m ˌa t ɪ s t
albumen|ˈa l b ʉ m ə n
albumet|ˈa l b ʉ m ə t
albumets|ˈa l b ʉ m ˌɛ t s
albumomslag|ˈa l b ʉ m ˌɔ m s l ɑː ɡ
albumsläpp|ˈa l b ɵ m s l ˌɛ p
alburov|ˈa l b ʉ r ˌuː v
alby|ˈa l b yː
alcamo|ˈa l k a m ˌuː
alcaraz|ˈa l k a r ˌa s
alcatel|ˈa l k a t ə l
alckmin|a l k m ˈiː n
alcock|ˈa l k ɔ k
alcogel|ˈa l k uː j ə l
alcornocales|ˈa l k uː r n ˌuː k a l ə s
alcén|a l k ˈeː n
aldeeb|ˈa l d ə ə b
alderholmen|ˈa l d ə r h ˌɔ l m ə n
aldertons|ˈa l d ə t ˌʊ n s
aldo|ˈa l d uː
aldra|ˈa l d r a
aldrig|ˈa l d r ɪ ɡ
ale|ˈɑː l ə
aleborna|ˈɑː l ə b ˌuː r n a
alec|ˈɑː l ə k
alecta|ˈɑː l ə k t ˌa
aleh|ˈɑː l ə h
aleksandar|ˈɑː l ə k s ˌa n d a r
aleksander|ˈɑː l ə k s ˌa n d ə r
aleksandr|ˈɑː l ə k s ˌa n d r
aleksej|ˈɑː l ə k s ˌɛ j
aleksijevitjs|ˈɑː l ə k s ˌiː j ə v ˌɪ ɕ s
alen|ˈɑː l ə n
alenius|ˈɑː l ə n ˌiː  ʉ s
alependeln|ˈɑː l ə p ˌɛ n d eː l n
alependelns|ˈɑː l ə p ˌɛ n d eː l n s
alerta|ˈɑː l ə t ˌa
alerten|ˈɑː l ə t ə n
ales|ˈɑː l ə s
alesdotter|ˈɑː l ə s d ˌɔ tː ə r
alesia|ˈɑː l ə s ˌiː  a
alessandro|ˈɑː l ə s ˌa n d r uː
alette|ˈɑː l ə tː ə
alevtina|ˈɑː l ə v t ˌiː n a
alex|ˈɑː l ə k s
alexa|ˈɑː l ə k s ˌa
alexander|ˈɑː l ə k s ˌa n d ə r
alexanders|ˈɑː l ə k s ˌa n d ə ʂ
alexandersson|ˈɑː l ə k s ˌa n d ə ʂ ˌɔ n
alexanderssons|ˈɑː l ə k s ˌa n d ə ʂ ˌɔ n s
alexandra|ˈɑː l ə k s ˌa n d r a
alexi|ˈɑː l ə k s ˌiː
alexia|ˈɑː l ə k s ˌiː  a
alexis|ˈɑː l ə k s ˌiː s
alf|ˈa l f
alfa|ˈa l f a
alfabetet|ˈa l f a b ə t ə t
alfons|a l f ˈoː n s
alfred|ˈa l f r ə d
alfredson|ˈa l f r ə d s ˌuː n
alfredsson|ˈa l f r ə d s ˌɔ n
alfsonso|ˈa l f s ʊ n s ˌuː
alfta|ˈa l f t a
alfvén|a l f v ˈeː n
alfvéngården|a l f v ˈeː ŋ oː r d ə n
alfvéns|a l f v ˈeː n s
algarrobico|ˈa l ɡ a r ˌuː b iː k ˌuː
algarve|ˈa l ɡ a r v ə
algblomning|ˈa l ɡ b l ɔ m n ˌɪ ŋ
algceller|ˈa l ɡ s ə l ə r
algebra|ˈa l j ə b r ˌa
alger|ˈa l j ə r
algeriet|ˈa l j ə r ˌiː  ə t
algeriska|ˈa l j ə r ˌɪ s k a
algerna|ˈa l j ə r n ˌa
algeskär|ˈa l j ə sx ˌɛː r
algläget|ˈa l ɡ l ɛː ɡ ə t
algmark|ˈa l ɡ m a r k
algodling|ˈa l ɡ uː d l ˌɪ ŋ
algoritm|ˈa l ɡ ʊ r ˌɪ t m
algoritmen|ˈa l ɡ ʊ r ˌɪ t m ə n
algoritmer|ˈa l ɡ ʊ r ˌɪ t m ə r
algüns|ˈa l ɡ ɵ n s
alhlander|ˈa l h l a n d ə r
alhäll|ˈa l h ə l
ali|ˈɑː l iː
alibaba|ˈɑː l iː b ˌa b a
alibabas|ˈɑː l iː b ˌa b a s
alibigest|ˈɑː l iː b ˌiː j ə s t
alibijournalister|ˈɑː l iː b ˌiː sx ʊ r n ˌa l ɪ s t ə r
alicante|ˈɑː l ɪ k ˌa n t ə
alicanteprovinsen|ˈɑː l ɪ k ˌa n t ə p r ˌuː v ɪ n s ə n
alicantes|ˈɑː l ɪ k ˌa n t ə s
alice|ˈɑː l ɪ s ə
alicent|ˈɑː l ɪ s ˌɛ n t
alicia|ˈɑː l ɪ s ˌɪ  a
alida|ˈɑː l iː d ˌa
aliens|ˈɑː l iː  ə n s
aligecheped|ˈɑː l iː j ˌɛ ʃ ə p ə d
alight|ˈɑː l ɪ ɡ h t
aligned|ˈɑː l ɪ ŋ n ə d
alikvotens|ˈɑː l ɪ k v ˌuː t ə n s
alimbekava|ˈɑː l ɪ m b ə k ˌa v a
alina|ˈɑː l iː n ˌa
alinejad|ˈɑː l iː n ˌɛ j a d
alingsås|ˈɑː l ɪ ŋ s ˌoː s
alis|ˈɑː l iː s
alisa|ˈɑː l iː s ˌa
alito|ˈɑː l iː t ˌuː
alive|ˈɑː l iː v ə
alive”|ˈɑː l iː v ə
aljaksandra|ˈa l j a k s ˌa n d r a
alkatell|ˈa l k a t ˌɛ l
alkohol|ˈa l k ʊ h ˌoː l
alkoholberoende|ˈa l k ʊ h ˌoː l b ə r ˌuː ə n d ə
alkoholbranschen|ˈa l k ʊ h ˌoː l b r a n ʃ ə n
alkoholen|ˈa l k ʊ h ˌoː l ə n
alkoholfria|ˈa l k ʊ h ˌoː l f r iː  ˌa
alkoholfritt|ˈa l k ʊ h ˌoː l f r ɪ t
alkoholister|ˈa l k ʊ h ˌoː l ɪ s t ə r
alkoholkonsumtion|ˌa l k ʊ h ˌoː l k ɔ n s ɵ m sx ˈuː n
alkoholkultur|ˈa l k ʊ h ˌoː l k ɵ l t ˌʉ r
alkoholproblem|ˈa l k ʊ h ˌoː l p r ɔ b l ə m
alkoholprodukt|ˈa l k ʊ h ˌoː l p r ɔ d ˌɵ k t
alkoholprodukter|ˈa l k ʊ h ˌoː l p r ɔ d ˌɵ k t ə r
alkoholpåverkad|ˈa l k ʊ h ˌoː l p oː v ˌɛ r k a d
alkoholtillstånd|ˈa l k ʊ h ˌoː l t ɪ l s t ˌoː n d
alkohol”|ˈa l k ʊ h ˌoː l
alkuviikosta|ˈa l k ʉ v ˌiː  iː k ˌɔ s t a
alkydfärgs|ˈa l k y d f ˌɛ r ɡ s
all|ˈa l
all_round|ˈa l r ˈuː ɵ n d
alla|ˈa l a
allabrf|ˈa l a b r f
allafall|ˈa l a f ˌa l
allah|ˈa l a h
allan|ˈa l a n
allander|ˈa l a n d ə r
allans|a l ˈa n s
allard|ˈa l a r d
allas|ˈa l a s
alla”|ˈa l a
alldeles|ˈa l d ə l ə s
alle|ˈa l ə
allegiant|ˈa l ə j ˌiː  a n t
allegoriska|ˈa l ə ɡ ˌʊ r ɪ s k ˌa
allegri|ˈa l ə ɡ r ˌiː
alleima|ˈa l ə ˌiː m a
alleimas|ˈa l ə ˌiː m a s
allen|ˈa l ə n
allenahärskande|ˈa l ə n ˌa h ə ʂ k ˌa n d ə
allenarådande|ˈa l ə n ˌa r oː d ˌa n d ə
allenby|ˈa l ə n b ˌyː
allens|ˈa l ə n s
allergener|ˈa l ə r j ə n ə r
allergier|ˈa l ə r j ˌiː  ə r
allergifilter|ˈa l ə r j ˌiː f ɪ l t ə r
allergiförbundet|ˌa l ə r j iː f ˈœ r b ɵ n d ə t
allergiker|ˈa l ə r j ˌiː k ə r
allergikerna|ˈa l ə r j ˌiː k ə r n ˌa
allergikonsulenter|ˌa l ə r j ɪ k ˈoː n s ʉ l ˌɛ n t ə r
allergin|ˌa l ə r j ˈiː n
allergiska|ˈa l ə r j ˌɪ s k a
allergivaccin|ˌa l ə r j ˌiː v a k s ˈiː n
allerholm|ˈa l ə r h ˌɔ l m
allesammans|ˌa l ə s a m ˈa n s
allettan|ˈa l ə tː ˌa n
allettans|ˌa l ə tː ˈa n s
alley|ˈa l ə ˌyː
allfyran|ˈa l f yː r ˌa n
allgod|ˈa l ɡ uː d
allhelgona|ˈa l h ə l ɡ ˌɔ n a
allhelgonahelgens|ˈa l h ə l ɡ ˌɔ n a h ˌɛ l j ə n s
allians|ˌa l iː  ˈa n s
alliansen|ˈa l iː  ˌa n s ə n
alliansens|ˈa l iː  ˌa n s ə n s
allianser|ˈa l iː  ˌa n s ə r
alliansfria|ˈa l iː  ˌa n s f r iː  ˌa
alliansfrihet|ˈa l iː  ˌa n s f r iː h ˌeː t
alliansfriheten|ˈa l iː  ˌa n s f r iː h ˌeː t ə n
alliansfrihetens|ˈa l iː  ˌa n s f r iː h ˌeː t ə n s
alliansfritt|ˈa l iː  ˌa n s f r ɪ t
allianskyrkan|ˈa l iː  ˌa n sx y r k ˌa n
alliansloppet|ˈa l iː  ˌa n s l ɔ p ə t
alliansmedlemmar|ˌa l iː  a n s m ˈeː d l ə m ˌa r
allianspartierna|ˈa l iː  ˌa n s p a t ˌiː  ə r n ˌa
alliansregeringens|ˈa l iː  ˌa n s r ə j ˌeː r ɪ ŋ ə n s
allierade|ˈa l iː  ə r ˌa d ə
allierade”|ˈa l iː  ə r ˌa d ə
allierat|ˈa l iː  ə r ˌa t
alligator|ˈa l iː ɡ ˌa t ɔ r
alligatorskinn|ˈa l iː ɡ ˌa t ɔ r sx ˌɪ n
allihop|ˈa l iː h ˌuː p
allihopa|ˈa l iː h ˌuː p a
allindiskes|ˈa l ɪ n d ˌɪ s k ə s
allkonstnärligas|ˈa l k ɔ n s t n ˌɛ r l iː ɡ ˌa s
allmog|ˈa l m uː ɡ
allmogekökets|ˈa l m uː j ə k ˌøː k ə t s
allmogetyp|ˈa l m uː j ə t ˌyː p
allmän|ˈa l m ɛː n
allmänbildning|ˈa l m ə n b ˌɪ l d n ɪ ŋ
allmänhet|ˈa l m ə n h ˌeː t
allmänheten|ˈa l m ə n h ˌeː t ə n
allmänhetens|ˈa l m ə n h ˌeː t ə n s
allmänljus|ˌa l m ə n j ˈʉ s
allmänläkare|ˈa l m ə n l ˌɛː k a r ə
allmänmedicin|ˌa l m ə n m ə d iː s ˈiː n
allmänna|ˈa l m ə n ˌa
allmänning|ˈa l m ə n ˌɪ ŋ
allmänningen|ˈa l m ə n ˌɪ ŋ ə n
allmänningsskog|ˈa l m ə n ˌɪ ŋ s k uː ɡ
allmännyttan|ˈa l m ə n ˌy tː a n
allmännyttiga|ˈa l m ə n ˌy tː iː ɡ ˌa
allmänpraktiserade|ˈa l m ə n p r ˌa k t ɪ s ˌeː r a d ə
allmänt|ˈa l m ə n t
allmäntillståndet|ˈa l m ə n t ˌɪ l s t oː n d ə t
allmäntjänstgöringen|ˈa l m ə n ɕ ˌɛ n s t j øː r ˌɪ ŋ ə n
allmänvården|ˌa l m ə n v ˈoː r d ə n
allo|ˈa l uː
allokering|ˈa l ʊ k ˌeː r ɪ ŋ
allokeringen|ˈa l ʊ k ˌeː r ɪ ŋ ə n
allokeringschef|ˈa l ʊ k ˌeː r ɪ ŋ ʃ ˌɛː f
allomfattande|ˈa l ɔ m f ˌa tː a n d ə
allorernas|ˈa l uː r ˌɛ r n a s
allra|ˈa l r a
allra–profilerna|ˈa l r a p r ˈuː f iː l ˌɛ r n a
allrummet|ˈa l r ɵ m ə t
alls|ˈa l s
allsammans|ˌa l s a m ˈa n s
allseende|ˈa l s ə ˌɛ n d ə
allsin|a l s ˈiː n
allsvenska|ˈa l s v ə n s k ˌa
allsvenskan|ˈa l s v ə n s k ˌa n
allsvenskans|ˌa l s v ə n s k ˈa n s
allsvenske|ˈa l s v ə n sx ə
allsvenskt|ˈa l s v ə n s k t
allsången|ˈa l s ɔ ŋ ə n
allsångsdrottning|ˈa l s ɔ ŋ s d r ˌɔ t n ɪ ŋ
allt|ˈa l t
allteftersom|ˈa l t ə f t ˌɛ ʂ ɔ m
alltfler|ˈa l t f l ə r
alltför|ˈa l t f øː r
alltid|ˈa l t iː d
alltigenom|ˈa l t iː j ˌeː n ɔ m
alltihop|ˈa l t iː h ˌuː p
alltihopa|ˈa l t iː h ˌuː p a
allting|ˈa l t ɪ ŋ
alltings|ˈa l t ɪ ŋ s
allting”|ˈa l t ɪ ŋ
alltjämnt|ˈa l ɕ ə m n t
alltjämt|ˈa l ɕ ə m t
alltmedan|ˈa l t m ə d ˌa n
alltmer|ˈa l t m ə r
alltnog|ˈa l t n uː ɡ
alltsedan|ˈa l t s ə d ˌa n
allvaret|ˈa l l v ɑː r ə t
allvarlig|ˈa l l v ɑː r l ˌɪ ɡ
allvarliga|ˈa l l v ɑː r l ˌiː ɡ a
allvarligare|ˈa l l v ɑː r l ˌiː ɡ a r ə
allvarligaste|ˈa l l v ɑː r l ˌiː ɡ a s t ə
allvarlighetens|ˈa l l v ɑː r l ˌɪ ɡ h eː t ə n s
allvarlighetsgrad|ˈa l l v ɑː r l ˌɪ ɡ h eː t s ɡ r ˌa d
allvarligt|ˈa l l v ɑː r l ˌɪ k t
allvarligt”|ˈa l l v ɑː r l ˌɪ k t
allvarlig”|ˈa l l v ɑː r l ˌɪ ɡ
allvarsam|ˈa l l v ɑː r s ˌa m
allvarsamma|ˈa l l v ɑː r s ˌa m a
allvarsamt|ˈa l l v ɑː r s ˌa m t
allvarsgraden|ˈa l l v ɑː r s ɡ r ˌa d ə n
allvarsorden|ˈa l l v ɑː r s ˌuː r d ə n
allvar”|ˈa l l v ɑː r
allvin|a l v ˈiː n
allvis|ˈa l v iː s
allväggen|ˈa l v ə ɡ j ə n
ally|ˈa l yː
allékyrkan|a l ˈeː k y r k ˌa n
all”|ˈa l
alma|ˈa l m a
almada|ˈa l m a d ˌa
almadjed|ˈa l m a d j ə d
almagränd|ˈa l m a ɡ r ˌɛ n d
almapriset|ˈa l m a p r ˌiː s ə t
almassri|ˈa l m a s r ˌiː
almedalen|ˈa l m ə d ˌa l ə n
almedalstal|ˌa l m ə d a l s t ˈɑː l
almedalsveckan|ˈa l m ə d ˌa l s v ə kː ˌa n
almega|ˈa l m ə ɡ ˌa
almgrens|ˈa l m ɡ r ə n s
almgården|ˈa l m ɡ oː r d ə n
almi|ˈa l m iː
alminiumlegeringens|ˈa l m iː n ˌiː  ɵ m l ə j ˌeː r ɪ ŋ ə n s
almkvist|ˈa l m k v ɪ s t
almodóvar|ˈa l m uː d ˌuː v a r
almogeköpets|ˈa l m uː j ə ɕ ˌøː p ə t s
almondys|ˈa l m ɔ n d ˌyː s
almqvist|ˈa l m k v ɪ s t
almqvists|ˈa l m k v ɪ s t s
almryd|ˈa l m r yː d
almsenius|ˈa l m s ə n ˌiː  ʉ s
almström|a l m s t r ˈœ m
almthén|a l m t h ˈeː n
almtuna|ˈa l m t ɵ n ˌa
almén|a l m ˈeː n
alnahhal|ˈa l n a h ˌa l
alnarp|ˈa l n a r p
alnö|ˈa l n øː
alnösol|ˈa l n øː s ˌuː l
aloen|ˈɑː l uː ə n
aloernas|ˈɑː l uː ˌɛ r n a s
alonso|ˈɑː l ɔ n s ˌuː
alopeci|ˈɑː l uː p ə s ˌɪ
alowan|ˈɑː l uː v ˌa n
alpcots|ˈa l p k ɔ t s
alpecin|ˌa l p ə s ˈiː n
alpha|ˈa l p h a
alphabet|ˈa l p h a b ə t
alphand|ˈa l p h a n d
alphatauri|ˈa l p h a t ˌa ʉ r ˌiː
alphonse|ˈa l p h ʊ n s ə
alpina|ˈa l p iː n ˌa
alpinchef|ˈa l p ɪ n sx ˌɛː f
alpincirkusens|ˈa l p ɪ n s ˌɪ r k ʉ s ə n s
alpine|ˈa l p iː n ə
alpines|ˈa l p iː n ə s
alpinister|ˈa l p iː n ˌɪ s t ə r
alpinisterna|ˈa l p iː n ˌɪ s t ə r n ˌa
alpinstjärna|ˈa l p ɪ n sx ˌɛ r n a
alpint|ˈa l p ɪ n t
alpinåkaren|ˈa l p iː n ˌoː k a r ə n
alpinåkningen|ˈa l p iː n ˌoː k n ɪ ŋ ə n
alpmyr|ˈa l p m yː r
alpnäbbmus|ˈa l p n ə b m ˌʉ s
alptopparna|ˈa l p t ɔ p ˌa r n a
als|ˈa l s
alseda|ˈa l s ə d ˌa
alsen|ˈa l s ə n
alsgaard|ˈa l s ɡ a ˌa r d
alsibai|ˈa l s iː b ˌa iː
alsing|ˈa l s ɪ ŋ
alsiö|ˈa l s iː  ˌøː
alsjöskolan|a l sx ˈœ s k uː l ˌa n
alsmäktig|ˈa l s m ə k t ˌɪ ɡ
alstermo|ˈa l s t ə r m ˌuː
alsters|ˈa l s t ə ʂ
alstra|ˈa l s t r a
alstrade|ˈa l s t r a d ə
alstrar|ˈa l s t r a r
alställ|ˈa l s t ə l
alsu|ˈa l s ʉ
alta|ˈa l t a
altagracia|ˈa l t ɑː ɡ r ˌa s ɪ  ˌa
altandäck|ˈa l t a n d ˌɛ k
altandörr|ˌa l t a n d ˈœ r
altandörrar|ˌa l t a n d ˈœ r a r
altandörren|ˌa l t a n d ˈœ r ə n
altanen|ˈa l t a n ə n
altaner|ˈa l t a n ə r
altaret|ˈa l t a r ə t
altarkärl|ˈa l t a r k ˌɛ r l
altartavla|ˈa l t a t ˌa v l a
altea|ˈa l t ə ˌa
alteablad|ˈa l t ə ˌa b l ɑː d
alten|ˈa l t ə n
alternativ|ˈa l t ə r n a t ˌiː v
alternativa|ˈa l t ə r n a t ˌiː v a
alternativen|ˈa l t ə r n a t ˌiː v ə n
alternativet|ˈa l t ə r n a t ˌiː v ə t
alternativförslag|ˌa l t ə r n a t ɪ v f ˈœ ʂ l ɑː ɡ
alternativklubb|ˈa l t ə r n a t ˌɪ v k l ɵ b
