&| ˈe 
abrandes|ˌɐ b ɹ ˈɐ̃ ŋ d ɨ ʃ
abrange|ˌɐ b ɹ ˈɐ̃ ŋ ʒ ɨ
abrangem|ˌɐ b ɹ ˈɐ̃ ŋ ʒ eɪ ŋ
abrangendo|ˌɐ b ɹ ɐ̃ ŋ ʒ ˈeɪ ŋ d ʊ
abrangente|ˌɐ b ɹ ɐ̃ ŋ ʒ ˈeɪ ŋ t ɨ
abrangentes|ˌɐ b ɹ ɐ̃ ŋ ʒ ˈeɪ ŋ t ɨ ʃ
abranger|ˌɐ b ɹ ɐ̃ ŋ ʒ ˈe ɹ
abrangeria|ˌɐ b ɹ ɐ̃ ŋ ʒ ɨ ɾ ˈi  ɐ
abrangerá|ˌɐ b ɹ ɐ̃ ŋ ʒ ɨ ɾ ˈa
abrangeu|ˌɐ b ɹ ɐ̃ ŋ ʒ ˈeʊ
abrangidas|ˌɐ b ɹ ɐ̃ ŋ ʒ ˈi d ɐ ʃ
abrangido|ˌɐ b ɹ ɐ̃ ŋ ʒ ˈi d ʊ
abrangidos|ˌɐ b ɹ ɐ̃ ŋ ʒ ˈi d ʊ ʃ
abrangências|ˌɐ b ɹ ɐ̃ ŋ ʒ ˈeɪ ŋ s i  ɐ ʃ
abrantes|ˌɐ b ɹ ˈɐ̃ ŋ t ɨ ʃ
abras|ˈa b ɹ ɐ ʃ
abrasado|ˌɐ b ɹ ɐ z ˈa d ʊ
abrasadora|ˌɐ b ɹ ɐ z ɐ d ˈo ɾ ɐ
abrasadoras|ˌɐ b ɹ ɐ z ɐ d ˈo ɾ ɐ ʃ
abrasara|ˌɐ b ɹ ɐ z ˈa ɾ ɐ
abrasco|ˌɐ b ɹ ˈa ʃ k ʊ
abrasel|ˌɐ b ɹ ɐ z ˈɛ l
abrasivo|ˌɐ b ɹ ɐ z ˈi v ʊ
abrasse|ˌɐ b ɹ ˈa s ɨ
abrasso|ˌɐ b ɹ ˈa s ʊ
abravanel|ˌɐ b ɹ ɐ v ɐ̃ n ˈɛ l
abravanel”|ˌɐ b ɹ ɐ v ɐ̃ n ˈɛ l
abraão|ˌɐ b ɹ ɐ ˈɐ̃ʊ̃
abraçada|ˌɐ b ɹ ɐ s ˈa d ɐ
abraçadas|ˌɐ b ɹ ɐ s ˈa d ɐ ʃ
abraçado|ˌɐ b ɹ ɐ s ˈa d ʊ
abraçados|ˌɐ b ɹ ɐ s ˈa d ʊ ʃ
abraçam|ˌɐ b ɹ ˈa s ɐ̃ʊ̃
abraçando|ˌɐ b ɹ ɐ s ˈɐ̃ ŋ d ʊ
abraçar|ˌɐ b ɹ ɐ s ˈa ɹ
abraçaram|ˌɐ b ɹ ɐ s ˈa ɾ ɐ̃ʊ̃
abraçarmos|ˌɐ b ɹ ɐ s ˈa ɾ ə m ʊ ʃ
abraçarão|ˌɐ b ɹ ɐ s ɐ ɾ ˈɐ̃ʊ̃
abraçasse|ˌɐ b ɹ ɐ s ˈa s ɨ
abraço|ˌɐ b ɹ ˈa s ʊ
abraços|ˌɐ b ɹ ˈa s ʊ ʃ
abraçou|ˌɐ b ɹ ɐ s ˈo w
abraçá|ˌɐ b ɹ ɐ s ˈa
abraçámos|ˌɐ b ɹ ɐ s ˈa m ʊ ʃ
abraçávamos|ˌɐ b ɹ ɐ s ˈa v ɐ m ʊ ʃ
abra…|ˈa b ɹ ɐ
abre|ˈa b ɹ ɨ
abrem|ˈa b ɹ eɪ ŋ
abreu|ɐ b ɹ ˈeʊ
abreviasse|ˌɐ b ɹ ɨ v i  ˈa s ɨ
abreviação|ˌɐ b ɹ ɨ v ˌi  ɐ s ˈɐ̃ʊ̃
abreviações|ˌɐ b ɹ ɨ v ˌi  ɐ s ˈõ j ʃ
abri|ɐ b ɹ ˈi
abria|ˌɐ b ɹ ˈi  ɐ
abriam|ˌɐ b ɹ ˈi  ɐ̃ʊ̃
abriga|ˌɐ b ɹ ˈi ɡ ɐ
abrigada|ˌɐ b ɹ i ɡ ˈa d ɐ
abrigadas|ˌɐ b ɹ i ɡ ˈa d ɐ ʃ
abrigados|ˌɐ b ɹ i ɡ ˈa d ʊ ʃ
abrigam|ˌɐ b ɹ ˈi ɡ ɐ̃ʊ̃
abrigamento|ˌɐ b ɹ i ɡ ɐ m ˈeɪ ŋ t ʊ
abrigando|ˌɐ b ɹ i ɡ ˈɐ̃ ŋ d ʊ
abrigar|ˌɐ b ɹ i ɡ ˈa ɹ
abrigaram|ˌɐ b ɹ i ɡ ˈa ɾ ɐ̃ʊ̃
abrigarem|ˌɐ b ɹ i ɡ ˈa ɾ eɪ ŋ
abrigará|ˌɐ b ɹ i ɡ ɐ ɾ ˈa
abrigava|ˌɐ b ɹ i ɡ ˈa v ɐ
abrigavam|ˌɐ b ɹ i ɡ ˈa v ɐ̃ʊ̃
abrigo|ˌɐ b ɹ ˈi ɡ ʊ
abrigos|ˌɐ b ɹ ˈi ɡ ʊ ʃ
abrigraf|ˌɐ b ɹ i ɡ ɹ ˈa f
abrigue|ˌɐ b ɹ ˈi ɡ ɨ
abril|ɐ b ɹ ˈi l
abrilhantando|ˌɐ b ɹ i ʎ ɐ̃ ŋ t ˈɐ̃ ŋ d ʊ
abrilivre|ˌɐ b ɹ i l ˈi v ɹ ɨ
abril”|ɐ b ɹ ˈi l
abrimos|ˌɐ b ɹ ˈi m ʊ ʃ
abrindo|ˌɐ b ɹ ˈi ŋ d ʊ
abrir|ɐ b ɹ ˈi ɹ
abriram|ˌɐ b ɹ ˈi ɾ ɐ̃ʊ̃
abrirem|ˌɐ b ɹ ˈi ɾ eɪ ŋ
abriria|ˌɐ b ɹ i ɾ ˈi  ɐ
abrirá|ˌɐ b ɹ i ɾ ˈa
abrirão|ˌɐ b ɹ i ɾ ˈɐ̃ʊ̃
abrisse|ˌɐ b ɹ ˈi s ɨ
abrissem|ˌɐ b ɹ ˈi s eɪ ŋ
abriu|ɐ b ɹ ˈiʊ
abro|ˈa b ɹ ʊ
abrolhos|ˌɐ b ɹ ˈo ʎ ʊ ʃ
abrupta|ˌɐ b ɹ ˈu p t ɐ
abruptos|ˌɐ b ɹ ˈu p t ʊ ʃ
abrão|ɐ b ɹ ˈɐ̃ʊ̃
absentismo|ˌɐ b s eɪ ŋ t ˈi ʒ m ʊ
absolut|ˌɐ b s u l ˈu t
absoluta|ˌɐ b s u l ˈu t ɐ
absolutamente|ˌɐ b s u l ˌu t ɐ m ˈeɪ ŋ t ɨ
absolutas|ˌɐ b s u l ˈu t ɐ ʃ
absolutismo|ˌɐ b s u l u t ˈi ʒ m ʊ
absolutista|ˌɐ b s u l u t ˈi ʃ t ɐ
absoluto|ˌɐ b s u l ˈu t ʊ
absolutos|ˌɐ b s u l ˈu t ʊ ʃ
absolutíssima|ˌɐ b s u l u t ˈi s i m ɐ
absolutória|ˌɐ b s u l u t ˈɔ ɾ j ɐ
absolve|ˌɐ b s ˈɔ l v ɨ
absolvesse|ˌɐ b s u l v ˈe s ɨ
absolveu|ˌɐ b s u l v ˈeʊ
absolvia|ˌɐ b s u l v ˈi  ɐ
absolvida|ˌɐ b s u l v ˈi d ɐ
absolvidas|ˌɐ b s u l v ˈi d ɐ ʃ
absolvido|ˌɐ b s u l v ˈi d ʊ
absolvidos|ˌɐ b s u l v ˈi d ʊ ʃ
absolvição|ˌɐ b s u l v i s ˈɐ̃ʊ̃
absolvições|ˌɐ b s u l v i s ˈõ j ʃ
absorta|ˌɐ b s ˈo ɾ ə t ɐ
absorting| ɐ b s ˈɔː t ɪ ŋ (pt-pt)
absorto|ˌɐ b s ˈo ɾ ə t ʊ
absorve|ˌɐ b s ˈɔ ɾ ə v ɨ
absorvem|ˌɐ b s ˈɔ ɾ ə v eɪ ŋ
absorvendo|ˌɐ b s u ɾ ə v ˈeɪ ŋ d ʊ
absorvente|ˌɐ b s u ɾ ə v ˈeɪ ŋ t ɨ
absorventes|ˌɐ b s u ɾ ə v ˈeɪ ŋ t ɨ ʃ
absorver|ˌɐ b s u ɾ ə v ˈe ɹ
absorveram|ˌɐ b s u ɾ ə v ˈe ɾ ɐ̃ʊ̃
absorveu|ˌɐ b s u ɾ ə v ˈeʊ
absorvia|ˌɐ b s u ɾ ə v ˈi  ɐ
absorviam|ˌɐ b s u ɾ ə v ˈi  ɐ̃ʊ̃
absorvidas|ˌɐ b s u ɾ ə v ˈi d ɐ ʃ
absorvido|ˌɐ b s u ɾ ə v ˈi d ʊ
absorvê|ˌɐ b s u ɾ ə v ˈe
absorção|ˌɐ b s u ɾ ə s ˈɐ̃ʊ̃
abstartups|ˌɐ b s t ɐ ɾ ə t ˈu p ʃ
abstemo|ˌɐ b s t ˈe m ʊ
abstenção”|ˌɐ b s t eɪ ŋ s ˈɐ̃ʊ̃
abstenções|ˌɐ b s t eɪ ŋ s ˈõ j ʃ
abster|ɐ b s t ˈe ɹ
absteve|ˌɐ b s t ˈe v ɨ
abstinência|ˌɐ b s t i n ˈeɪ ŋ s j ɐ
abstivesse|ˌɐ b s t i v ˈɛ s ɨ
abstrair|ˌɐ b s t ɹ ɐ ˈi ɹ
abstrata|ˌɐ b s t ɹ ˈa t ɐ
abstratas|ˌɐ b s t ɹ ˈa t ɐ ʃ
abstrato|ˌɐ b s t ɹ ˈa t ʊ
abstratos|ˌɐ b s t ɹ ˈa t ʊ ʃ
abstração|ˌɐ b s t ɹ ɐ s ˈɐ̃ʊ̃
absurda|ˌɐ b s ˈu ɾ ə d ɐ
absurdamente|ˌɐ b s u ɾ ə d ɐ m ˈeɪ ŋ t ɨ
absurdas|ˌɐ b s ˈu ɾ ə d ɐ ʃ
absurdo|ˌɐ b s ˈu ɾ ə d ʊ
absurdos|ˌɐ b s ˈu ɾ ə d ʊ ʃ
absurdo”|ˌɐ b s ˈu ɾ ə d ʊ
abu|ɐ b ˈu
abundante|ˌɐ b ũ ŋ d ˈɐ̃ ŋ t ɨ
abundantes|ˌɐ b ũ ŋ d ˈɐ̃ ŋ t ɨ ʃ
abundância|ˌɐ b ũ ŋ d ˈɐ̃ ŋ s j ɐ
abundâncias|ˌɐ b ũ ŋ d ˈɐ̃ ŋ s i  ɐ ʃ
abusada|ˌɐ b u z ˈa d ɐ
abusadas|ˌɐ b u z ˈa d ɐ ʃ
abusado|ˌɐ b u z ˈa d ʊ
abusadora|ˌɐ b u z ɐ d ˈo ɾ ɐ
abusados|ˌɐ b u z ˈa d ʊ ʃ
abusar|ˌɐ b u z ˈa ɹ
abusaram|ˌɐ b u z ˈa ɾ ɐ̃ʊ̃
abusarem|ˌɐ b u z ˈa ɾ eɪ ŋ
abuse|ˌɐ b ˈu z ɨ
abusiva|ˌɐ b u z ˈi v ɐ
abusivas|ˌɐ b u z ˈi v ɐ ʃ
abusividade|ˌɐ b u z ˌi v i d ˈa d ɨ
abusivo|ˌɐ b u z ˈi v ʊ
abusivos|ˌɐ b u z ˈi v ʊ ʃ
abuso|ˌɐ b ˈu z ʊ
abusos|ˌɐ b ˈu z ʊ ʃ
abusou|ˌɐ b u z ˈo w
abvcap|ɐ b v k ˈa p
abílio|ˌɐ b ˈi l j ʊ
abóbada|ˌɐ b ˈɔ b ɐ d ɐ
abóbodas|ˌɐ b ˈɔ b u d ɐ ʃ
abóbora|ˌɐ b ˈɔ b u ɾ ɐ
abóboras|ˌɐ b ˈɔ b u ɾ ɐ ʃ
abô|ɐ b ˈo
ac|ˈa k
aca|ˈa k ɐ
acaba|ˌɐ k ˈa b ɐ
acabada|ˌɐ k ɐ b ˈa d ɐ
acabado|ˌɐ k ɐ b ˈa d ʊ
acabam|ˌɐ k ˈa b ɐ̃ʊ̃
acabamento|ˌɐ k ɐ b ɐ m ˈeɪ ŋ t ʊ
acabamentos|ˌɐ k ɐ b ɐ m ˈeɪ ŋ t ʊ ʃ
acabamentos”|ˌɐ k ɐ b ɐ m ˈeɪ ŋ t ʊ ʃ
acabamos|ˌɐ k ɐ b ˈɐ̃ m ʊ ʃ
acabando|ˌɐ k ɐ b ˈɐ̃ ŋ d ʊ
acabar|ˌɐ k ɐ b ˈa ɹ
acabara|ˌɐ k ɐ b ˈa ɾ ɐ
acabaram|ˌɐ k ɐ b ˈa ɾ ɐ̃ʊ̃
acabarei|ˌɐ k ɐ b ɐ ɾ ˈeɪ
acabarem|ˌɐ k ɐ b ˈa ɾ eɪ ŋ
acabaria|ˌɐ k ɐ b ɐ ɾ ˈi  ɐ
acabariam|ˌɐ k ɐ b ɐ ɾ ˈi  ɐ̃ʊ̃
acabarianos|ˌɐ k ɐ b ˌɐ ɾ i  ˈɐ̃ n ʊ ʃ
acabarmos|ˌɐ k ɐ b ˈa ɾ ə m ʊ ʃ
acabará|ˌɐ k ɐ b ɐ ɾ ˈa
acabarão|ˌɐ k ɐ b ɐ ɾ ˈɐ̃ʊ̃
acabasse|ˌɐ k ɐ b ˈa s ɨ
acabassem|ˌɐ k ɐ b ˈa s eɪ ŋ
acabava|ˌɐ k ɐ b ˈa v ɐ
acabavam|ˌɐ k ɐ b ˈa v ɐ̃ʊ̃
acabe|ˌɐ k ˈa b ɨ
acabei|ˌɐ k ɐ b ˈeɪ
acabem|ˌɐ k ˈa b eɪ ŋ
acabo|ˌɐ k ˈa b ʊ
acabou|ˌɐ k ɐ b ˈo w
acabrunhada|ˌɐ k ɐ b ɹ ũ ɲ ˈa d ɐ
acabrunhou|ˌɐ k ɐ b ɹ ũ ɲ ˈo w
acabrunhá|ˌɐ k ɐ b ɹ ũ ɲ ˈa
acabámos|ˌɐ k ɐ b ˈa m ʊ ʃ
acacio|ˌɐ k ɐ s ˈiʊ
academia|ˌɐ k ɐ d ɨ m ˈi  ɐ
academias|ˌɐ k ɐ d ɨ m ˈi  ɐ ʃ
academia’|ˌɐ k ɐ d ɨ m ˈi  ɐ
academia”|ˌɐ k ɐ d ɨ m ˈi  ɐ
academicismo|ˌɐ k ɐ d ˌɨ m i s ˈi ʒ m ʊ
academismo|ˌɐ k ɐ d ɨ m ˈi ʒ m ʊ
academy|ˌɐ k ɐ d ˈe m i
académica|ˌɐ k ɐ d ˈɛ m i k ɐ
académicas|ˌɐ k ɐ d ˈɛ m i k ɐ ʃ
académico|ˌɐ k ɐ d ˈɛ m i k ʊ
académicos|ˌɐ k ɐ d ˈɛ m i k ʊ ʃ
acadêmica|ˌɐ k ɐ d ˈe m i k ɐ
acadêmicas|ˌɐ k ɐ d ˈe m i k ɐ ʃ
acadêmico|ˌɐ k ɐ d ˈe m i k ʊ
acadêmicos|ˌɐ k ɐ d ˈe m i k ʊ ʃ
acaju|ˌɐ k ɐ ʒ ˈu
acalento|ˌɐ k ɐ l ˈeɪ ŋ t ʊ
acalma|ˌɐ k ˈɑ l m ɐ
acalmados|ɐ k ˌɑ l m ˈa d ʊ ʃ
acalmando|ɐ k ˌɑ l m ˈɐ̃ ŋ d ʊ
acalmassem|ɐ k ˌɑ l m ˈa s eɪ ŋ
acalmava|ɐ k ˌɑ l m ˈa v ɐ
acalme|ˌɐ k ˈɑ l m ɨ
acalmei|ɐ k ˌɑ l m ˈeɪ
acalmou|ɐ k ˌɑ l m ˈo w
acalmá|ɐ k ˌɑ l m ˈa
acalorada|ˌɐ k ɐ l u ɾ ˈa d ɐ
acalorados|ˌɐ k ɐ l u ɾ ˈa d ʊ ʃ
acamada|ˌɐ k ɐ m ˈa d ɐ
acamados|ˌɐ k ɐ m ˈa d ʊ ʃ
acampa|ˌɐ k ˈɐ̃ m p ɐ
acampados|ˌɐ k ɐ̃ m p ˈa d ʊ ʃ
acampamento|ˌɐ k ɐ̃ m p ɐ m ˈeɪ ŋ t ʊ
acampamentos|ˌɐ k ɐ̃ m p ɐ m ˈeɪ ŋ t ʊ ʃ
acampar|ˌɐ k ɐ̃ m p ˈa ɹ
acamparam|ˌɐ k ɐ̃ m p ˈa ɾ ɐ̃ʊ̃
acanhamento|ˌɐ k ɐ̃ ɲ ɐ m ˈeɪ ŋ t ʊ
acanhava|ˌɐ k ɐ̃ ɲ ˈa v ɐ
acarajé|ˌɐ k ɐ ɾ ɐ ʒ ˈɛ
acarau|ˌɐ k ɐ ɾ ˈaʊ
acaraú|ˌɐ k ɐ ɾ ɐ ˈu
acaricia|ˌɐ k ɐ ɾ i s ˈi  ɐ
acariciado|ˌɐ k ɐ ɾ ˌi s i  ˈa d ʊ
acarician|ˌɐ k ɐ ɾ ˌi s i  ˈɐ̃ ŋ
acariciando|ˌɐ k ɐ ɾ ˌi s i  ˈɐ̃ ŋ d ʊ
acariciar|ˌɐ k ɐ ɾ ˌi s i  ˈa ɹ
acariciava|ˌɐ k ɐ ɾ ˌi s i  ˈa v ɐ
acariciavam|ˌɐ k ɐ ɾ ˌi s i  ˈa v ɐ̃ʊ̃
acariciou|ˌɐ k ɐ ɾ ˌi s i  ˈo w
acarinhado|ˌɐ k ɐ ɾ i ɲ ˈa d ʊ
acarpetado|ˌɐ k ɐ ɾ ə p ɨ t ˈa d ʊ
acarpetados|ˌɐ k ɐ ɾ ə p ɨ t ˈa d ʊ ʃ
acarreta|ˌɐ k ɐ ʁ ˈɛ t ɐ
acarretamento|ˌɐ k ɐ ʁ ˌe t ɐ m ˈeɪ ŋ t ʊ
acarretando|ˌɐ k ɐ ʁ ɨ t ˈɐ̃ ŋ d ʊ
acarretar|ˌɐ k ɐ ʁ ɨ t ˈa ɹ
acarretaria|ˌɐ k ɐ ʁ ˌe t ɐ ɾ ˈi  ɐ
acarretará|ˌɐ k ɐ ʁ ˌe t ɐ ɾ ˈa
acarretava|ˌɐ k ɐ ʁ ɨ t ˈa v ɐ
acarretavam|ˌɐ k ɐ ʁ ɨ t ˈa v ɐ̃ʊ̃
acarretou|ˌɐ k ɐ ʁ ɨ t ˈo w
acasalamento|ˌɐ k ɐ z ˌɐ l ɐ m ˈeɪ ŋ t ʊ
acaso|ˌɐ k ˈa z ʊ
acasos|ˌɐ k ˈa z ʊ ʃ
acaso”|ˌɐ k ˈa z ʊ
acastanhado|ˌɐ k ɐ ʃ t ɐ̃ ɲ ˈa d ʊ
acata|ˌɐ k ˈa t ɐ
acatada|ˌɐ k ɐ t ˈa d ɐ
acatado|ˌɐ k ɐ t ˈa d ʊ
acatar|ˌɐ k ɐ t ˈa ɹ
acatará|ˌɐ k ɐ t ɐ ɾ ˈa
acatava|ˌɐ k ɐ t ˈa v ɐ
acatou|ˌɐ k ɐ t ˈo w
acatá|ˌɐ k ɐ t ˈa
acautelado|ˌɐ k aʊ t ɨ l ˈa d ʊ
acautelar|ˌɐ k aʊ t ɨ l ˈa ɹ
acautelarem|ˌɐ k aʊ t ɨ l ˈa ɾ eɪ ŋ
acb|ˈa k b
accabou”|ˌɐ k ɐ b ˈo w
accardi|ˌɐ k ɐ ɾ ə d ˈi
access”|ˈa k s ˌɛ s
acciarito|ˌɐ s i  ɐ ɾ ˈi t ʊ
accidente|ˌɐ s i d ˈeɪ ŋ t ɨ
accionados|ˌɐ s i  u n ˈa d ʊ ʃ
accionista|ˌɐ s i  u n ˈi ʃ t ɐ
accordes|ˌɐ k ˈo ɾ ə d ɨ ʃ
accorsi|ˌɐ k u ɾ ə s ˈi
ace|ˈa s ɨ
aceder|ˌɐ s ɨ d ˈe ɹ
acederam|ˌɐ s ɨ d ˈe ɾ ɐ̃ʊ̃
acedesse|ˌɐ s ɨ d ˈe s ɨ
acedeu|ˌɐ s ɨ d ˈeʊ
acedro|ˌɐ s ˈɛ d ɹ ʊ
acef|ɐ s ˈe f
aceita|ˌɐ s ˈeɪ t ɐ
aceitado|ˌɐ s eɪ t ˈa d ʊ
aceitam|ˌɐ s ˈeɪ t ɐ̃ʊ̃
aceitamos|ˌɐ s eɪ t ˈɐ̃ m ʊ ʃ
aceitando|ˌɐ s eɪ t ˈɐ̃ ŋ d ʊ
aceitar|ˌɐ s eɪ t ˈa ɹ
aceitaram|ˌɐ s eɪ t ˈa ɾ ɐ̃ʊ̃
aceitarei|ˌɐ s eɪ t ɐ ɾ ˈeɪ
aceitarem|ˌɐ s eɪ t ˈa ɾ eɪ ŋ
aceitaria|ˌɐ s eɪ t ɐ ɾ ˈi  ɐ
aceitará|ˌɐ s eɪ t ɐ ɾ ˈa
aceitarão|ˌɐ s eɪ t ɐ ɾ ˈɐ̃ʊ̃
aceitas|ˌɐ s ˈeɪ t ɐ ʃ
aceitasse|ˌɐ s eɪ t ˈa s ɨ
aceitava|ˌɐ s eɪ t ˈa v ɐ
aceitação|ˌɐ s eɪ t ɐ s ˈɐ̃ʊ̃
aceite|ˌɐ s ˈeɪ t ɨ
aceitei|ˌɐ s eɪ t ˈeɪ
aceitem|ˌɐ s ˈeɪ t eɪ ŋ
aceito|ˌɐ s ˈeɪ t ʊ
aceitos|ˌɐ s ˈeɪ t ʊ ʃ
aceitou|ˌɐ s eɪ t ˈo w
aceitá|ˌɐ s eɪ t ˈa
aceitáveis|ˌɐ s eɪ t ˈa v eɪ ʃ
aceitável|ˌɐ s eɪ t ˈa v ˌɛ l
aceitável”|ˌɐ s eɪ t ˈa v ˌɛ l
acelen|ˌɐ s ˈe l eɪ ŋ
acelera|ˌɐ s ɨ l ˈɛ ɾ ɐ
acelerada|ˌɐ s ɨ l ɨ ɾ ˈa d ɐ
aceleradas|ˌɐ s ɨ l ɨ ɾ ˈa d ɐ ʃ
acelerado|ˌɐ s ɨ l ɨ ɾ ˈa d ʊ
acelerador|ˌɐ s ɨ l ˌe ɾ ɐ d ˈo ɹ
aceleradora|ˌɐ s ɨ l ˌe ɾ ɐ d ˈo ɾ ɐ
acelerado”|ˌɐ s ɨ l ɨ ɾ ˈa d ʊ
acelerando|ˌɐ s ɨ l ɨ ɾ ˈɐ̃ ŋ d ʊ
aceleraram|ˌɐ s ɨ l ɨ ɾ ˈa ɾ ɐ̃ʊ̃
acelerará|ˌɐ s ɨ l ˌe ɾ ɐ ɾ ˈa
acelerava|ˌɐ s ɨ l ɨ ɾ ˈa v ɐ
aceleração|ˌɐ s ɨ l ˌe ɾ ɐ s ˈɐ̃ʊ̃
acelerações|ˌɐ s ɨ l ˌe ɾ ɐ s ˈõ j ʃ
acelere|ˌɐ s ɨ l ˈɛ ɾ ɨ
acelerem|ˌɐ s ɨ l ˈɛ ɾ eɪ ŋ
acelerou|ˌɐ s ɨ l ɨ ɾ ˈo w
acena|ˌɐ s ˈe n ɐ
acenam|ˌɐ s ˈe n ɐ̃ʊ̃
acenando|ˌɐ s ɨ n ˈɐ̃ ŋ d ʊ
acenar|ˌɐ s ɨ n ˈa ɹ
acenaram|ˌɐ s ɨ n ˈa ɾ ɐ̃ʊ̃
acenasse|ˌɐ s ɨ n ˈa s ɨ
acenava|ˌɐ s ɨ n ˈa v ɐ
acenda|ˌɐ s ˈeɪ ŋ d ɐ
acende|ˌɐ s ˈeɪ ŋ d ɨ
acendendo|ˌɐ s eɪ ŋ d ˈeɪ ŋ d ʊ
acender|ˌɐ s eɪ ŋ d ˈe ɹ
acendera|ˌɐ s eɪ ŋ d ˈe ɾ ɐ
acendeu|ˌɐ s eɪ ŋ d ˈeʊ
acendi|ˌɐ s eɪ ŋ d ˈi
acendia|ˌɐ s eɪ ŋ d ˈi  ɐ
acendo|ˌɐ s ˈeɪ ŋ d ʊ
acene|ˌɐ s ˈe n ɨ
aceno|ˌɐ s ˈe n ʊ
acenos|ˌɐ s ˈe n ʊ ʃ
acenou|ˌɐ s ɨ n ˈo w
acentiu|ˌɐ s eɪ ŋ t ˈiʊ
acento|ˌɐ s ˈeɪ ŋ t ʊ
acentos|ˌɐ s ˈeɪ ŋ t ʊ ʃ
acentua|ˌɐ s eɪ ŋ t ˈu ɐ
acentuada|ˌɐ s eɪ ŋ t u ˈa d ɐ
acentuadamente|ˌɐ s eɪ ŋ t ˌu ɐ d ɐ m ˈeɪ ŋ t ɨ
acentuadas|ˌɐ s eɪ ŋ t u ˈa d ɐ ʃ
acentuado|ˌɐ s eɪ ŋ t u ˈa d ʊ
acentuam|ˌɐ s eɪ ŋ t ˈu ɐ̃ʊ̃
acentuar|ˌɐ s eɪ ŋ t u ˈa ɹ
acentuaram|ˌɐ s eɪ ŋ t u ˈa ɾ ɐ̃ʊ̃
acentuação|ˌɐ s eɪ ŋ t ˌu ɐ s ˈɐ̃ʊ̃
acentuou|ˌɐ s eɪ ŋ t w ˈo w
acepi|ˌɐ s ɨ p ˈi
acepção|ˌɐ s ɨ p s ˈɐ̃ʊ̃
acerando|ˌɐ s ɨ ɾ ˈɐ̃ ŋ d ʊ
acerava|ˌɐ s ɨ ɾ ˈa v ɐ
acerba|ˌɐ s ˈɛ ɾ ə b ɐ
acerbamente|ˌɐ s ɨ ɾ ə b ɐ m ˈeɪ ŋ t ɨ
acerbas|ˌɐ s ˈe ɾ ə b ɐ ʃ
acerbo|ˌɐ s ˈɛ ɾ ə b ʊ
acerca|ˌɐ s ˈe ɾ ə k ɐ
acerta|ˌɐ s ˈɛ ɾ ə t ɐ
acertada|ˌɐ s ɨ ɾ ə t ˈa d ɐ
acertadamente|ˌɐ s ɨ ɾ ə t ˌɐ d ɐ m ˈeɪ ŋ t ɨ
acertado|ˌɐ s ɨ ɾ ə t ˈa d ʊ
acertam|ˌɐ s ˈɛ ɾ ə t ɐ̃ʊ̃
acertando|ˌɐ s ɨ ɾ ə t ˈɐ̃ ŋ d ʊ
acertaram|ˌɐ s ɨ ɾ ə t ˈa ɾ ɐ̃ʊ̃
acertasse|ˌɐ s ɨ ɾ ə t ˈa s ɨ
acerte|ˌɐ s ˈɛ ɾ ə t ɨ
acertei|ˌɐ s ɨ ɾ ə t ˈeɪ
acerto|ˌɐ s ˈɛ ɾ ə t ʊ
acertos|ˌɐ s ˈe ɾ ə t ʊ ʃ
acertou|ˌɐ s ɨ ɾ ə t ˈo w
acertá|ˌɐ s ɨ ɾ ə t ˈa
acervo|ˌɐ s ˈe ɾ ə v ʊ
acervos|ˌɐ s ˈe ɾ ə v ʊ ʃ
aces|ˈa s ɨ ʃ
acesa|ˌɐ s ˈe z ɐ
acesas|ˌɐ s ˈe z ɐ ʃ
acesc|ɐ s ˈe ʃ k
aceso|ˌɐ s ˈe z ʊ
acesos|ˌɐ s ˈe z ʊ ʃ
acessa|ˌɐ s ˈɛ s ɐ
acessada|ˌɐ s ɨ s ˈa d ɐ
acessadas|ˌɐ s ɨ s ˈa d ɐ ʃ
acessado|ˌɐ s ɨ s ˈa d ʊ
acessados|ˌɐ s ɨ s ˈa d ʊ ʃ
acessam|ˌɐ s ˈɛ s ɐ̃ʊ̃
acessando|ˌɐ s ɨ s ˈɐ̃ ŋ d ʊ
acessar|ˌɐ s ɨ s ˈa ɹ
acessarem|ˌɐ s ɨ s ˈa ɾ eɪ ŋ
acesse|ˌɐ s ˈɛ s ɨ
acessibilidade|ˌɐ s ɨ s ˌi b i l i d ˈa d ɨ
acessibilidades”|ˌɐ s ɨ s ˌi b i l i d ˈa d ɨ ʃ
acesso|ˌɐ s ˈɛ s ʊ
acessoria|ˌɐ s ɨ s u ɾ ˈi  ɐ
acessos|ˌɐ s ˈe s ʊ ʃ
acessou|ˌɐ s ɨ s ˈo w
acesso”|ˌɐ s ˈɛ s ʊ
acessá|ˌɐ s ɨ s ˈa
acessíveis|ˌɐ s ɨ s ˈi v eɪ ʃ
acessível|ˌɐ s ɨ s ˈi v ˌɛ l
acessível”|ˌɐ s ɨ s ˈi v ˌɛ l
acessórias|ˌɐ s ɨ s ˈɔ ɾ i  ɐ ʃ
acessório|ˌɐ s ɨ s ˈɔ ɾ j ʊ
acessórios|ˌɐ s ɨ s ˈɔ ɾ iʊ ʃ
acetato|ˌɐ s ɨ t ˈa t ʊ
acetilcisteína|ˌɐ s ɨ t ˌi l s i ʃ t ɨ ˈi n ɐ
acetinada|ˌɐ s ɨ t i n ˈa d ɐ
