$|d ˈo l a
adili|a d ˈi l i
adilikuwapa|ˌa d i l ˌi k u w ˈa p a
adimu|a d ˈi m u
adini|a d ˈi n i
adjoining|ˌa d ɟ o ˈi n i ŋ ɡ
adjourn|a d ɟ ˈo u r n
adjustment|a d ɟ ˈu s t m e n t
adjö|ˈa d ɟ o
adma|ˈa d m a
administrative|ˌa d  m i n ˌi s t  r a t ˈi v e
admiral|a d  m ˈi r a l
admissions|ˌa d  m i s s ˈi o n s
adn|ˈa d n
adolescent|ˌa d o l ˈe s k e n t
adolf|ˈa d o l f
adolf_andersohnsgatan|ˈa d o l f ˌa n d e r s o h n s ɡ ˈa t a n
adolphson|a d ˈo l p h s o n
adoptera|ˌa d o p t ˈe r a
adowa|a d ˈo w a
adrameleki|ˌa d  r a m e l ˈe k i
adrena|a d  r ˈe n a
adrenali|ˌa d  r e n ˈa l i
adrenalini|ˌa d  r e n a l ˈi n i
adrenalinkickar|ˌa d  r e n ˌa l i ŋ  k ˈi k k a r
adressen|a d  r ˈe s s e n
adresser|a d  r ˈe s s e r
adria|a d  r ˈi a
adrieli|ˌa d  r i ˈe l i
adrien|a d  r ˈi e n
ads|ˈa d s
adsl|ˈa d s l
adui|a d ˈu i
adulamu|ˌa d u l ˈa m u
adult|ˈa d u l t
adumu|a d ˈu m u
adur|ˈa d u r
advantage|ˌa d v a n t ˈa ɡ e
adventi|a d v ˈe n t i
advisory|a d v ˈi s o r j
advokaten|ˌa d v o k ˈa t e n
advokaterna|ˌa d v o k a t ˈe r n a
advox|ˈa d v o k s
adwa|ˈa d w a
aegean|ˌa e ɡ ˈe a n
aegeus|ˌa e ɡ ˈe u s
aegis|a ˈe ɡ i s
aenda|a ˈe n d a
aendapo|ˌa e n d ˈa p o
aendavyo|ˌa e n d ˈa v j o
aendaye|ˌa e n d ˈa j e
aende|a ˈe n d e
aendelee|ˌa e n d e l ˈe e
aendeleze|ˌa e n d e l ˈe z e
aendesha|ˌa e n d ˈe ʃ a
aendeshapo|ˌa e n d e ʃ ˈa p o
aep|ˈa e p
aerodynamiskt|ˌa e r o d j n ˈa m i s k t
aerosoli|ˌa e r o s ˈo l i
aest|ˈa e s t
af|ˈa f
afadhaike|ˌa f a ð a ˈi k e
afadhali|ˌa f a ð ˈa l i
afahamuye|ˌa f a h a m ˈu j e
afanana|ˌa f a n ˈa n a
afanasieff|ˌa f a n a s ˈi e f f
afande|a f ˈa n d e
afanikiwe|ˌa f a n i k ˈi w e
afanya|a f ˈa ɲ a
afanyapo|ˌa f a ɲ ˈa p o
afanyavyo|ˌa f a ɲ ˈa v j o
afanyaye|ˌa f a ɲ ˈa j e
afanye|a f ˈa ɲ e
afapo|a f ˈa p o
afar|ˈa f a r
afars|ˈa f a r s
afaye|a f ˈa j e
afc|ˈa f k
afe|ˈa f e
afeki|a f ˈe k i
afeni|a f ˈe n i
afewerki|ˌa f e w ˈe r k i
affair|a f f ˈa i r
affan|ˈa f f a n
affiliated|ˌa f f i l i ˈa t e d
affischering|ˌa f f i s tʃ ˈe r i ŋ ɡ
affischgudinna|ˌa f f i s tʃ ɡ u d ˈi n n a
affleck|ˈa f f l e k k
affär|ˈa f f a r
affären|a f f ˈa r e n
affärens|a f f ˈa r e n s
affärer|a f f ˈa r e r
affärsbankerna|ˌa f f a r s b a ŋ  k ˈe r n a
affärsbekanta|ˌa f f a r s b e k ˈa n t a
affärsidé|ˌa f f a r s ˈi d e
affärskedjor|ˌa f f a r s  k ˈe d ɟ o r
affärsmodeller|ˌa f f a r s  m o d ˈe l l e r
affärsmässiga|ˌa f f a r s  m a s s ˈi ɡ a
affärsområde|ˌa f f a r s o m  r ˈa d e
affärsresenärerna|ˌa f f a r s  r ˌe s e n a r ˈe r n a
affärsstöd|a f f ˈa r s s t o d
affärsutvecklare|ˌa f f a r s ˌu t v e k  k l ˈa r e
afghanis|a f ɣ ˈa n i s
afghanistan|ˌa f ɣ a n ˈi s t a n
afghanistani|ˌa f ɣ a n i s t ˈa n i
afghanska|a f ɣ ˈa n s k a
afia|a f ˈi a
afichaye|ˌa f i tʃ ˈa j e
afie|a f ˈi e
afika|a f ˈi k a
afikapo|ˌa f i k ˈa p o
afikirie|ˌa f i k i r ˈi e
afikiriye|ˌa f i k i r ˈi j e
afikpo|a f ˈi k p o
afinyangaye|ˌa f i ɲ a ŋ ɡ ˈa j e
afisa|a f ˈi s a
afium|a f ˈi u m
africa|a f  r ˈi k a
african|a f  r ˈi k a n
africando|ˌa f  r i k ˈa n d o
afrika|a f  r ˈi k a
afrikan|a f  r ˈi k a n
afrikansk|a f  r ˈi k a n s k
afrique|ˌa f  r i k ˈu e
afrka|ˈa f r k a
afro|ˈa f  r o
afrobeat|ˌa f  r o b ˈe a t
aftonbladet|ˌa f t o n b l ˈa d e t
afuataye|ˌa f u a t ˈa j e
afuate|ˌa f u ˈa t e
afuatiaye|ˌa f u ˌa t i ˈa j e
afuatwe|ˌa f u ˈa t w e
afukizaye|ˌa f u k i z ˈa j e
afumbaye|ˌa f u m b ˈa j e
afundishaye|ˌa f u n d i ʃ ˈa j e
afundishe|ˌa f u n d ˈi ʃ e
afundishwapo|ˌa f u n d i ʃ w ˈa p o
afunge|a f ˈu ŋ ɡ e
afunguliwe|ˌa f u ŋ ɡ u l ˈi w e
afunikaye|ˌa f u n i k ˈa j e
afunua|ˌa f u n ˈu a
afunuaye|ˌa f u n u ˈa j e
afurahi|ˌa f u r ˈa h i
afurahiaye|ˌa f u r ˌa h i ˈa j e
afurahiye|ˌa f u r a h ˈi j e
afya|ˈa f j a
afyon|ˈa f j o n
afyonza|a f j ˈo n z a
aga|ˈa ɡ a
agagi|a ɡ ˈa ɡ i
again|a ɡ ˈa i n
agaist|a ɡ ˈa i s t
agamemnon|ˌa ɡ a m ˈe m n o n
agano|a ɡ ˈa n o
agape|a ɡ ˈa p e
agapo|a ɡ ˈa p o
agari|a ɡ ˈa r i
agca|ˈa ɡ k a
age|ˈa ɡ e
agency|ˈa ɡ e n k j
agent|ˈa ɡ e n t
agenti|a ɡ ˈe n t i
agerar|a ɡ ˈe r a r
ageukaye|ˌa ɡ e u k ˈa j e
aggregat|a ɡ ɡ  r ˈe ɡ a t
aggressivt|a ɡ ɡ  r ˈe s s i v t
aggrey|ˈa ɡ ɡ  r e j
agha|ˈa ɣ a
aghaili|ˌa ɣ a ˈi l i
aghalabu|ˌa ɣ a l ˈa b u
aghlabu|a ɣ l ˈa b u
agina|a ɡ ˈi n a
agizo|a ɡ ˈi z o
aglander|a ɡ l ˈa n d e r
agnes|ˈa ɡ n e s
agosti|a ɡ ˈo s t i
agostino|ˌa ɡ o s t ˈi n o
agrey|ˈa ɡ  r e j
agriculturalist|ˌa ɡ  r i k ˌu l t u r ˈa l i s t
aguaruna|ˌa ɡ u a r ˈu n a
aguilar|ˌa ɡ u ˈi l a r
aguilera|ˌa ɡ u i l ˈe r a
aguiyi|ˌa ɡ u ˈi j i
agulhas|a ɡ ˈu l h a s
aguri|a ɡ ˈu r i
agustino|ˌa ɡ u s t ˈi n o
agwambo|a ɡ w ˈa m b o
agyemang|a ɡ j ˈe m a ŋ ɡ
ah|ˈa h
aha|ˈa h a
ahadi|a h ˈa d i
ahadith|a h ˈa d i θ
ahaggar|a h ˈa ɡ ɡ a r
ahakikishe|ˌa h a k i k ˈi ʃ e
ahamie|ˌa h a m ˈi e
ahamishiwe|ˌa h a m i ʃ ˈi w e
ahangaika|ˌa h a ŋ ɡ a ˈi k a
aharibu|ˌa h a r ˈi b u
ahata|a h ˈa t a
ahazi|a h ˈa z i
ahazia|ˌa h a z ˈi a
ahaziusifurahi|ˌa h a z ˌi u s ˌi f u r ˈa h i
ahead|a h ˈe a d
ahesabiwaye|ˌa h e s ˌa b i w ˈa j e
ahesabiwe|ˌa h e s a b ˈi w e
aheshimiwe|ˌa h e ʃ i m ˈi w e
ahieleweki|ˌa h i ˌe l e w ˈe k i
ahifadhi|ˌa h i f ˈa ð i
ahimaasi|ˌa h i m a ˈa s i
ahimeleki|ˌa h i m e l ˈe k i
ahimidiwe|ˌa h i m i d ˈi w e
ahinoamu|ˌa h i n o ˈa m u
ahisi|a h ˈi s i
ahisipo|ˌa h i s ˈi p o
ahitubu|ˌa h i t ˈu b u
ahiya|a h ˈi j a
ahl|ˈa h l
ahmad|ˈa h m a d
ahmada|a h  m ˈa d a
ahmadiyya|ˌa h  m a d ˈi j j a
ahmadu|a h  m ˈa d u
ahmed|ˈa h m e d
ahmet|ˈa h m e t
ahos|ˈa h o s
ahtisaaris|ˌa h t i s a ˈa r i s
ahudhurie|ˌa h u ð u r ˈi e
ahukumu|ˌa h u k ˈu m u
ahusishwe|ˌa h u s ˈi ʃ w e
ahyi|ˈa h j i
ai|ˈa i
aiachaye|ˌa i a tʃ ˈa j e
aiana|ˌa i ˈa n a
aiangaliaye|ˌa i ˌa ŋ ɡ a l i ˈa j e
aiangamize|ˌa i ˌa ŋ ɡ a m ˈi z e
aibaye|ˌa i b ˈa j e
aibisha|ˌa i b ˈi ʃ a
aibu|a ˈi b u
aibuatamkaye|ˌa i b ˌu a t a m k ˈa j e
aibusu|ˌa i b ˈu s u
aic|ˈa i k
aichunguzaye|ˌa i tʃ ˌu ŋ ɡ u z ˈa j e
aida|a ˈi d a
aidan|a ˈi d a n
aidha|a ˈi ð a
aids|ˈa i d s
aiendea|ˌa i e n d ˈe a
aiesec|ˌa i ˈe s e k
aifa|a ˈi f a
aifanya|ˌa i f ˈa ɲ a
aifanyayo|ˌa i f a ɲ ˈa j o
aifurahie|ˌa i f ˌu r a h ˈi e
aihifadhiye|ˌa i h ˌi f a ð ˈi j e
aihimize|ˌa i h i m ˈi z e
aihubiri|ˌa i h u b ˈi r i
aijua|ˌa i ɟ ˈu a
aik|ˈa i k
aikazaye|ˌa i k a z ˈa j e
aikijaribu|ˌa i k ˌi ɟ a r ˈi b u
aikosaye|ˌa i k o s ˈa j e
aikuchukuliwa|ˌa i k ˌu tʃ u k u l ˈi w a
aikuwa|ˌa i k ˈu w a
ailandi|ˌa i l ˈa n d i
ailaze|ˌa i l ˈa z e
ailetapo|ˌa i l e t ˈa p o
ailetee|ˌa i l e t ˈe e
ailicheza|ˌa i l i tʃ ˈe z a
ailikuwa|ˌa i l i k ˈu w a
ailime|ˌa i l ˈi m e
ailindaye|ˌa i l i n d ˈa j e
aim|ˈa i m
aimarishe|ˌa i m a r ˈi ʃ e
aims|ˈa i m s
ain|ˈa i n
ain't|ˈa i n t
aina|a ˈi n a
ainamishwa|ˌa i n a m ˈi ʃ w a
ainamoi|ˌa i n a m ˈo i
ainamoja|ˌa i n a m ˈo ɟ a
ainanyingine|ˌa i n ˌa ɲ i ŋ ɡ ˈi n e
aingiaye|ˌa i ŋ ɡ i ˈa j e
aingie|ˌa i ŋ ɡ ˈi e
aingilie|ˌa i ŋ ɡ i l ˈi e
ainishaji|ˌa i n i ʃ ˈa ɟ i
ainy|ˈa i ɲ
aiogopaye|ˌa i ˌo ɡ o p ˈa j e
aionapo|ˌa i o n ˈa p o
aione|ˌa i ˈo n e
aipendayo|ˌa i p e n d ˈa j o
aipimaye|ˌa i p i m ˈa j e
aipime|ˌa i p ˈi m e
aipindua|ˌa i p i n d ˈu a
air|ˈa i r
aire|a ˈi r e
aires|a ˈi r e s
airlines|ˌa i r l ˈi n e s
airmyn|ˈa i r m j n
airport|a ˈi r p o r t
airwana|ˌa i r w ˈa n a
airway|a ˈi r w a j
airways|a ˈi r w a j s
ais|ˈa i s
aisee|ˌa i s ˈe e
aisema|ˌa i s ˈe m a
aisha|a ˈi ʃ a
aishikaye|ˌa i ʃ i k ˈa j e
aishivyo|ˌa i ʃ ˈi v j o
aisikie|ˌa i s i k ˈi e
aisilandi|ˌa i s i l ˈa n d i
aiskrimu|ˌa i s  k  r ˈi m u
aistralia|ˌa i s t  r a l ˈi a
aitangazaye|ˌa i t ˌa ŋ ɡ a z ˈa j e
aitawalaye|ˌa i t ˌa w a l ˈa j e
aitaye|ˌa i t ˈa j e
aitetemeshe|ˌa i t ˌe t e m ˈe ʃ e
aitii|ˌa i t ˈi i
aitiiye|ˌa i t i ˈi j e
aittamaa|ˌa i t t a m ˈa a
aitulize|ˌa i t u l ˈi z e
aitunzaye|ˌa i t u n z ˈa j e
aitwae|ˌa i t w ˈa e
aitwaye|ˌa i t w ˈa j e
aitwayelisa|ˌa i t w ˌa j e l ˈi s a
aitwayo|ˌa i t w ˈa j o
aitwe|a ˈi t w e
aiunga|ˌa i ˈu ŋ ɡ a
aivunja|ˌa i v ˈu ɲ ɟ a
aiyapenda|ˌa i j a p ˈe n d a
aizuie|ˌa i z u ˈi e
aj|ˈa ɟ
aja|ˈa ɟ a
ajabu|a ɟ ˈa b u
ajabuajabu|ˌa ɟ a b ˌu a ɟ ˈa b u
ajabubaada|ˌa ɟ a b ˌu b a ˈa d a
ajabubasi|ˌa ɟ a b u b ˈa s i
ajache|a ɟ ˈa tʃ e
ajali|a ɟ ˈa l i
ajapo|a ɟ ˈa p o
ajapodhania|ˌa ɟ a p ˌo ð a n ˈi a
ajapofadhiliwa|ˌa ɟ a p ˌo f a ð i l ˈi w a
ajapoishi|ˌa ɟ a p o ˈi ʃ i
ajapokuwa|ˌa ɟ a p o k ˈu w a
ajapoolewa|ˌa ɟ a p ˌo o l ˈe w a
ajaposema|ˌa ɟ a p o s ˈe m a
ajapoyafahamu|ˌa ɟ a p ˌo j a f a h ˈa m u
ajari|a ɟ ˈa r i
ajaribu|ˌa ɟ a r ˈi b u
ajatoa|ˌa ɟ a t ˈo a
ajax|ˈa ɟ a k s
ajaye|a ɟ ˈa j e
aje|ˈa ɟ e
ajenda|a ɟ ˈe n d a
ajengaye|ˌa ɟ e ŋ ɡ ˈa j e
ajenti|a ɟ ˈe n t i
ajentina|ˌa ɟ e n t ˈi n a
ajiachilie|ˌa ɟ i ˌa tʃ i l ˈi e
ajiamini|ˌa ɟ i a m ˈi n i
ajibuye|ˌa ɟ i b ˈu j e
ajidanganya|ˌa ɟ i d a ŋ ɡ ˈa ɲ a
ajidhanie|ˌa ɟ i ð a n ˈi e
ajidhiliye|ˌa ɟ i ð i l ˈi j e
ajiendeleze|ˌa ɟ i ˌe n d e l ˈe z e
ajiendeshee|ˌa ɟ i ˌe n d e ʃ ˈe e
ajifahamu|ˌa ɟ i f a h ˈa m u
ajifanya|ˌa ɟ i f ˈa ɲ a
ajifanyaye|ˌa ɟ i f a ɲ ˈa j e
ajifanyiaye|ˌa ɟ i f ˌa ɲ i ˈa j e
ajifanyie|ˌa ɟ i f a ɲ ˈi e
ajifunga|ˌa ɟ i f ˈu ŋ ɡ a
ajifunge|ˌa ɟ i f ˈu ŋ ɡ e
ajifunze|ˌa ɟ i f ˈu n z e
ajijali|ˌa ɟ i ɟ ˈa l i
ajikane|ˌa ɟ i k ˈa n e
ajikwaapo|ˌa ɟ i k w a ˈa p o
ajikwezaye|ˌa ɟ i k w e z ˈa j e
ajil|ˈa ɟ i l
ajili|a ɟ ˈi l i
ajilii|ˌa ɟ i l ˈi i
ajilipize|ˌa ɟ i l i p ˈi z e
ajinabi|ˌa ɟ i n ˈa b i
ajiokoe|ˌa ɟ i o k ˈo e
ajipambavyo|ˌa ɟ i p a m b ˈa v j o
ajipange|ˌa ɟ i p ˈa ŋ ɡ e
ajipatia|ˌa ɟ i p a t ˈi a
ajipatie|ˌa ɟ i p a t ˈi e
ajipendekezaye|ˌa ɟ i p ˌe n d e k e z ˈa j e
ajipokee|ˌa ɟ i p o k ˈe e
ajira|a ɟ ˈi r a
ajirekebishe|ˌa ɟ i r ˌe k e b ˈi ʃ e
ajiri|a ɟ ˈi r i
ajisalimishe|ˌa ɟ i s ˌa l i m ˈi ʃ e
ajishughulishe|ˌa ɟ i ʃ ˌu ɣ u l ˈi ʃ e
ajisifiaye|ˌa ɟ i s ˌi f i ˈa j e
ajisifuye|ˌa ɟ i s i f ˈu j e
ajitahidi|ˌa ɟ i t a h ˈi d i
ajitahidiye|ˌa ɟ i t ˌa h i d ˈi j e
ajitengaye|ˌa ɟ i t e ŋ ɡ ˈa j e
ajitetee|ˌa ɟ i t e t ˈe e
ajitoe|ˌa ɟ i t ˈo e
ajitokeze|ˌa ɟ i t o k ˈe z e
ajitolee|ˌa ɟ i t o l ˈe e
ajitwike|ˌa ɟ i t w ˈi k e
ajiunge|ˌa ɟ i ˈu ŋ ɡ e
ajiuzulu|ˌa ɟ i u z ˈu l u
ajiwekeaye|ˌa ɟ i w ˌe k e ˈa j e
ajizoeze|ˌa ɟ i z o ˈe z e
ajournerades|ˌa ɟ o ˌu r n e r ˈa d e s
ajua|a ɟ ˈu a
ajuapo|ˌa ɟ u ˈa p o
ajuavyo|ˌa ɟ u ˈa v j o
ajuaye|ˌa ɟ u ˈa j e
ajue|a ɟ ˈu e
ajulikana|ˌa ɟ u l i k ˈa n a
ajulikane|ˌa ɟ u l i k ˈa n e
ajute|a ɟ ˈu t e
akaacha|ˌa k a ˈa tʃ a
akaachishwa|ˌa k a a tʃ ˈi ʃ w a
akaagiza|ˌa k a a ɡ ˈi z a
akaahidi|ˌa k a a h ˈi d i
akaahidiwa|ˌa k a ˌa h i d ˈi w a
akaajiriwa|ˌa k a ˌa ɟ i r ˈi w a
akaalika|ˌa k a a l ˈi k a
akaambiwa|ˌa k a a m b ˈi w a
akaamka|ˌa k a ˈa m k a
akaamua|ˌa k a a m ˈu a
akaamuru|ˌa k a a m ˈu r u
akaandamana|ˌa k a ˌa n d a m ˈa n a
akaandika|ˌa k a a n d ˈi k a
akaangalia|ˌa k a ˌa ŋ ɡ a l ˈi a
akaanguka|ˌa k a a ŋ ɡ ˈu k a
akaangukia|ˌa k a ˌa ŋ ɡ u k ˈi a
akaangusha|ˌa k a a ŋ ɡ ˈu ʃ a
akaanza|ˌa k a ˈa n z a
akaanzisha|ˌa k a a n z ˈi ʃ a
akaapa|ˌa k a ˈa p a
akaapishwa|ˌa k a a p ˈi ʃ w a
akaauawa|ˌa k a ˌa u ˈa w a
akaaye|ˌa k a ˈa j e
akaba|a k ˈa b a
akabadili|ˌa k a b a d ˈi l i
akabadilika|ˌa k a b ˌa d i l ˈi k a
akabadilisha|ˌa k a b ˌa d i l ˈi ʃ a
akabahatika|ˌa k a b ˌa h a t ˈi k a
akabaki|ˌa k a b ˈa k i
akabakia|ˌa k a b a k ˈi a
akabariki|ˌa k a b a r ˈi k i
akabebeshwa|ˌa k a b e b ˈe ʃ w a
akabonyeza|ˌa k a b o ɲ ˈe z a
akabululuka|ˌa k a b ˌu l u l ˈu k a
akabuni|ˌa k a b ˈu n i
akaburudishwa|ˌa k a b ˌu r u d ˈi ʃ w a
akachagua|ˌa k a tʃ a ɡ ˈu a
akachaguliwa|ˌa k a tʃ ˌa ɡ u l ˈi w a
akachanja|ˌa k a tʃ ˈa ɲ ɟ a
akacheka|ˌa k a tʃ ˈe k a
akachelewesha|ˌa k a tʃ ˌe l e w ˈe ʃ a
akachemsha|ˌa k a tʃ ˈe m ʃ a
akachimba|ˌa k a tʃ ˈi m b a
akachipusha|ˌa k a tʃ i p ˈu ʃ a
akachongwa|ˌa k a tʃ ˈo ŋ ɡ w a
akachora|ˌa k a tʃ ˈo r a
akachuguliwa|ˌa k a tʃ ˌu ɡ u l ˈi w a
akachukizwa|ˌa k a tʃ u k ˈi z w a
akachukuliwa|ˌa k a tʃ ˌu k u l ˈi w a
akachuma|ˌa k a tʃ ˈu m a
akachungulia|ˌa k a tʃ ˌu ŋ ɡ u l ˈi a
akadai|ˌa k a d ˈa i
akadakwa|ˌa k a d ˈa k w a
akademi|ˌa k a d ˈe m i
akademia|ˌa k a d e m ˈi a
akademier|ˌa k a d e m ˈi e r
akademiska|ˌa k a d e m ˈi s k a
akademiyrke|ˌa k a d e m ˈi j r k e
akadhaniwa|ˌa k a ð a n ˈi w a
akadi|a k ˈa d i
akadumu|ˌa k a d ˈu m u
akae|a k ˈa e
akaedelea|ˌa k a ˌe d e l ˈe a
akaelekea|ˌa k a ˌe l e k ˈe a
akaelekeza|ˌa k a ˌe l e k ˈe z a
akaenda|ˌa k a ˈe n d a
akaendela|ˌa k a e n d ˈe l a
akaendelea|ˌa k a ˌe n d e l ˈe a
akaendesha|ˌa k a e n d ˈe ʃ a
akaepa|ˌa k a ˈe p a
akafa|a k ˈa f a
akafadhaika|ˌa k a f ˌa ð a ˈi k a
akafaenoshi|ˌa k a f ˌa e n ˈo ʃ i
akafaidika|ˌa k a f ˌa i d ˈi k a
akafanikisha|ˌa k a f ˌa n i k ˈi ʃ a
akafanikiwa|ˌa k a f ˌa n i k ˈi w a
akafanya|ˌa k a f ˈa ɲ a
akafanyiza|ˌa k a f a ɲ ˈi z a
akafariki|ˌa k a f a r ˈi k i
akafaulu|ˌa k a f a ˈu l u
akafika|ˌa k a f ˈi k a
akafikiria|ˌa k a f ˌi k i r ˈi a
akafuata|ˌa k a f u ˈa t a
akafuatana|ˌa k a f ˌu a t ˈa n a
akafufuliwa|ˌa k a f ˌu f u l ˈi w a
akafukuzwa|ˌa k a f u k ˈu z w a
akafundisha|ˌa k a f u n d ˈi ʃ a
akafunga|ˌa k a f ˈu ŋ ɡ a
akafungwa|ˌa k a f ˈu ŋ ɡ w a
akafunika|ˌa k a f u n ˈi k a
akafunua|ˌa k a f u n ˈu a
akafuta|ˌa k a f ˈu t a
akagera|ˌa k a ɡ ˈe r a
akageuka|ˌa k a ɡ e ˈu k a
akageuza|ˌa k a ɡ e ˈu z a
akageuzia|ˌa k a ɡ ˌe u z ˈi a
akaghadhibika|ˌa k a ɣ ˌa ð i b ˈi k a
akaghairi|ˌa k a ɣ a ˈi r i
akagombea|ˌa k a ɡ o m b ˈe a
akagundua|ˌa k a ɡ u n d ˈu a
akahamia|ˌa k a h a m ˈi a
akahamisha|ˌa k a h a m ˈi ʃ a
akahamishiwa|ˌa k a h ˌa m i ʃ ˈi w a
akahangaikia|ˌa k a h ˌa ŋ ɡ a i k ˈi a
akahesabiwa|ˌa k a h ˌe s a b ˈi w a
akaheshimiwa|ˌa k a h ˌe ʃ i m ˈi w a
akahimiza|ˌa k a h i m ˈi z a
akahitimu|ˌa k a h i t ˈi m u
akahudumia|ˌa k a h ˌu d u m ˈi a
akahukumiwa|ˌa k a h ˌu k u m ˈi w a
akahukumu|ˌa k a h u k ˈu m u
akahuzunika|ˌa k a h ˌu z u n ˈi k a
akaiabudu|ˌa k a ˌi a b ˈu d u
akaiacha|ˌa k a i ˈa tʃ a
akaiba|ˌa k a ˈi b a
akaibarikia|ˌa k a ˌi b a r i k ˈi a
akaichezea|ˌa k a ˌi tʃ e z ˈe a
akaichukua|ˌa k a ˌi tʃ u k ˈu a
akaiendeleza|ˌa k a ˌi e n d e l ˈe z a
akaifuata|ˌa k a ˌi f u ˈa t a
akaifungua|ˌa k a ˌi f u ŋ ɡ ˈu a
akaiita|ˌa k a i ˈi t a
akaijaza|ˌa k a i ɟ ˈa z a
akaikaza|ˌa k a i k ˈa z a
akaikemea|ˌa k a ˌi k e m ˈe a
akaikusanya|ˌa k a ˌi k u s ˈa ɲ a
akaila|ˌa k a ˈi l a
akaileta|ˌa k a i l ˈe t a
akainama|ˌa k a i n ˈa m a
akaingia|ˌa k a i ŋ ɡ ˈi a
akaingiwa|ˌa k a i ŋ ɡ ˈi w a
akaingiza|ˌa k a i ŋ ɡ ˈi z a
akainua|ˌa k a i n ˈu a
akainuka|ˌa k a i n ˈu k a
akainyosha|ˌa k a i ɲ ˈo ʃ a
akaiomba|ˌa k a i ˈo m b a
akaiona|ˌa k a i ˈo n a
akaipiga|ˌa k a i p ˈi ɡ a
akaipindua|ˌa k a ˌi p i n d ˈu a
akaipokea|ˌa k a ˌi p o k ˈe a
akaisaidia|ˌa k a ˌi s a i d ˈi a
akaishi|ˌa k a ˈi ʃ i
akaishibisha|ˌa k a ˌi ʃ i b ˈi ʃ a
akaisikiliza|ˌa k a ˌi s i k i l ˈi z a
akaisimamisha|ˌa k a ˌi s i m a m ˈi ʃ a
akaisitiri|ˌa k a ˌi s i t ˈi r i
akaisujudia|ˌa k a ˌi s u ɟ u d ˈi a
akaita|ˌa k a ˈi t a
akaitaka|ˌa k a i t ˈa k a
akaitakasa|ˌa k a ˌi t a k ˈa s a
akaitambua|ˌa k a ˌi t a m b ˈu a
akaitika|ˌa k a i t ˈi k a
akaitikia|ˌa k a ˌi t i k ˈi a
akaitoa|ˌa k a i t ˈo a
akaitupa|ˌa k a i t ˈu p a
akaitwaa|ˌa k a i t w ˈa a
akaiweka|ˌa k a i w ˈe k a
akaiwekea|ˌa k a ˌi w e k ˈe a
akaja|a k ˈa ɟ a
akajakuolewa|ˌa k a ɟ ˌa k u o l ˈe w a
akajaliwa|ˌa k a ɟ a l ˈi w a
akajaribiwa|ˌa k a ɟ ˌa r i b ˈi w a
akajaribu|ˌa k a ɟ a r ˈi b u
akajazwa|ˌa k a ɟ ˈa z w a
akajenga|ˌa k a ɟ ˈe ŋ ɡ a
akajengwe|ˌa k a ɟ ˈe ŋ ɡ w e
akajibamiza|ˌa k a ɟ ˌi b a m ˈi z a
akajibu|ˌa k a ɟ ˈi b u
akajichagulia|ˌa k a ɟ ˌi tʃ a ɡ u l ˈi a
akajichukia|ˌa k a ɟ ˌi tʃ u k ˈi a
akajifanya|ˌa k a ɟ i f ˈa ɲ a
akajificha|ˌa k a ɟ i f ˈi tʃ a
akajifundisha|ˌa k a ɟ ˌi f u n d ˈi ʃ a
akajifunga|ˌa k a ɟ i f ˈu ŋ ɡ a
akajifunua|ˌa k a ɟ ˌi f u n ˈu a
akajigeuza|ˌa k a ɟ ˌi ɡ e ˈu z a
akajiinama|ˌa k a ɟ ˌi i n ˈa m a
akajiinamisha|ˌa k a ɟ ˌi i n a m ˈi ʃ a
akajiingiza|ˌa k a ɟ ˌi i ŋ ɡ ˈi z a
akajiita|ˌa k a ɟ i ˈi t a
akajikuta|ˌa k a ɟ i k ˈu t a
akajionea|ˌa k a ɟ ˌi o n ˈe a
akajiongezea|ˌa k a ɟ ˌi o ŋ ɡ e z ˈe a
akajipanga|ˌa k a ɟ i p ˈa ŋ ɡ a
akajipata|ˌa k a ɟ i p ˈa t a
akajipatia|ˌa k a ɟ ˌi p a t ˈi a
akajipatika|ˌa k a ɟ ˌi p a t ˈi k a
akajiponya|ˌa k a ɟ i p ˈo ɲ a
akajiri|ˌa k a ɟ ˈi r i
akajirudi|ˌa k a ɟ i r ˈu d i
akajisahau|ˌa k a ɟ ˌi s a h ˈa u
akajisemea|ˌa k a ɟ ˌi s e m ˈe a
akajisikia|ˌa k a ɟ ˌi s i k ˈi a
akajisimamishia|ˌa k a ɟ ˌi s i m ˌa m i ʃ ˈi a
akajitahidi|ˌa k a ɟ ˌi t a h ˈi d i
akajitangaza|ˌa k a ɟ ˌi t a ŋ ɡ ˈa z a
akajitenga|ˌa k a ɟ i t ˈe ŋ ɡ a
akajitoa|ˌa k a ɟ i t ˈo a
akajitokeza|ˌa k a ɟ ˌi t o k ˈe z a
akajitolea|ˌa k a ɟ ˌi t o l ˈe a
akajitwalia|ˌa k a ɟ ˌi t w a l ˈi a
akajitwika|ˌa k a ɟ i t w ˈi k a
akajiuliza|ˌa k a ɟ ˌi u l ˈi z a
akajiunga|ˌa k a ɟ i ˈu ŋ ɡ a
akajiuzulu|ˌa k a ɟ ˌi u z ˈu l u
akajivika|ˌa k a ɟ i v ˈi k a
akajiweka|ˌa k a ɟ i w ˈe k a
akajongeza|ˌa k a ɟ o ŋ ɡ ˈe z a
akajua|ˌa k a ɟ ˈu a
akajulikana|ˌa k a ɟ ˌu l i k ˈa n a
akakaa|ˌa k a k ˈa a
akakana|ˌa k a k ˈa n a
